Name,Name - Preferred,NYC Administrative Organization Type,Agency Operational Status,Parent Organization,Authorizing Authority,Legal Citation,Legal Citation URL,Legal Citation Text,Additional Citation,Additional Citation URL
mayors office of special enforcement,Mayor's Office of Special Enforcement,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 96, 2006",https://a860-gpp.nyc.gov/concern/nyc_government_publications/z029p497s?locale=en,"The Office of Midtown Enforcement shall now be known as the Office of Special Enforcement (“Office”). The Office shall, on a Citywide basis, continue to implement the enforcement coordination functions of the Office of Midtown Enforcement as further described in section 2 of this Order. The Office shall be located within the Office of the Criminal Justice Coordinator, and be headed by a Director who shall report to the Deputy Mayor for Administration. The Director shall be accountable for 2 the Office’s performance to the Criminal Justice Coordinator, Deputy Mayor for Administration and Mayor.",,
mayors office for child care and early childhood education,Mayor's Office for Child Care and Early Childhood Education,Mayoral Office,Active,Mayor's Office,Mayoral Press Release,"June 28, 2022 Press Release",https://a860-gpp.nyc.gov/concern/nyc_government_publications/rr172159k?locale=en,we are creating a new Office of Child Care and Early Education at City Hall to coordinate all of our efforts in establishing an advisory council.,,
mayors office of climate and environmental justice,Mayor's Office of Climate and Environmental Justice,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 4, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/st74cs877?locale=en,"The Office of Long-Term Planning and Sustainability shall be established within the Office of the Mayor and hereafter be designated as the Office of Climate and Environmental Justice, except in court documents, contracts and any other situation where the name “Office of Long-Term Planning and Sustainability” is legally required. Such office shall perform the functions delineated in section 20 of the Charter as well as those functions that have been performed by the former Office of Climate and Sustainability and the Office of Climate Resiliency.",,
commission on gender equity,Commission on Gender Equity,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 1, Section 20-b",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5699,"There shall be a commission on gender equity to study the nature and extent of inequities facing women, girls, transgender, intersex, gender non-conforming and non-binary individuals in the city; to study the impact of such inequities on the economic, civic and social well-being of women, girls, transgender, intersex, gender non-conforming and non-binary individuals; to advise on ways to analyze the function and composition of city agencies through a gender-based lens and ways to develop equitable recruitment strategies; and to make recommendations to the mayor and the council for the reduction of gender-based inequality. Such commission shall consist of 26 members appointed by the mayor; five members appointed by the speaker of the council; and the chair of the commission on human rights, who shall serve as an ex officio member. Members of the commission shall be representative of the population of the city of New York and shall have experience in advocating for issues important to women, girls, transgender, intersex, gender non-conforming and non-binary individuals. The mayor shall designate one member to serve as chair of the commission, and may also designate a member to serve as co-chair. Members shall serve at the pleasure of the appointing authority. In the event of the death or resignation of any member, a successor shall be appointed by the official who appointed such member. The mayor shall appoint an executive director for the commission.",,
association for a better new york,Association for a Better New York,Non-Governmental Organization,Active,,New York State Law,,,,,
mayors office of environmental coordination,Mayor's Office of Environmental Coordination,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 8, Section 192(e)",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-809,"The city planning commission shall oversee implementation of laws that require environmental reviews of actions taken by the city. The commission shall establish by rule procedures for environmental reviews of proposed actions by the city where such reviews are required by law. Such rules shall include procedures for (1) selection of the city agency or agencies that will be responsible for determining whether an environmental impact statement is required in connection with a proposed action and for preparation and filing of any such statement required by law, (2) participation by the city in environmental reviews involving agencies other than city agencies and (3) coordination of environmental review procedures with the land use review procedures set forth in this charter. The director of city planning and the commissioner of the department of environmental protection shall assign from the staffs of such departments an office of environmental coordination, which shall provide assistance to all city agencies in fulfilling their environmental review responsibilities.",,
mayors office of environmental remediation,Mayor's Office of Environmental Remediation,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 57, Section 1404",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6722,"There shall be an office of environmental remediation within the department. The office shall be headed by the director of the office of environmental remediation in accordance with subdivision e of section fifteen of the New York city charter. The office shall exercise such powers and duties as the director shall determine, including, but not limited to, the power and duty to administer the E-Designation program, as defined in section 11-15 of the zoning resolution of the city of New York.",,
education retirement system board of,Board of Education Retirement System,"Advisory, Oversight, or Regulatory Body",Active,,New York State Law,"Article 52, Section 2575-E",https://www.nysenate.gov/legislation/laws/EDN/2575-E,"Eligibility of retirees for membership in the board of education retirement system of the city of New York. Notwithstanding any inconsistent provision of sections 13-267 and 13-379 of the administrative code of the city of New York, or any other provision of this chapter, or the code, or any other law, a person otherwise eligible for membership in the board of education retirement system of the city of New York, who files with the board a statement duly executed and acknowledged consenting for the period of his or her active membership in the system to the suspension of all present benefits provided wholly or partly by the city through any other retirement system or pension fund and consenting and agreeing to membership and to the deductions for annuity purposes prescribed in this chapter shall be a member of the board of education retirement system of the city of New York. Upon the subsequent retirement of such person from the board of education retirement system of the city of New York, he or she shall receive benefits based on creditable service not included in the service upon which his or her retirement allowance or pension from such other retirement system or pension fund is or would be based, and, upon such subsequent retirement, payment of the benefits provided through such other retirement system or pension fund, which had been suspended, shall be resumed.",,
mayors office of immigrant affairs,Mayor's Office of Immigrant Affairs,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 1, Section 18",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-182,"In furtherance of the policies stated in subdivision a of this section, there shall be established in the executive office of the mayor an office of immigrant affairs. The office shall be headed by a director, who shall be appointed by the mayor.",,
mayors office to end domestic and genderbased violence,Mayor's Office to End Domestic and Gender-Based Violence,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 1, Section 19",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5714,"There shall be, in the executive office of the mayor, an office to end domestic and gender-based violence. The office shall be headed by a director, who shall be appointed by the mayor.",,
