Name_1,Name_2,Label
administrative justice coordinator nyc office of,office of administrative justice coordinator,Match
administrative trials and hearings office of,office of administrative trials and hearings,Match
aging department for the,department for the aging,Match
board of education retirement system,education retirement system board of,Match
chief medical examiner nyc office of,office of chief medical examiner,Match
child care and early childhood education office for,mayors office for child care and early childhood education,Match
childrens services administration for,administration for childrens services,Match
city clerk office of the,office of the city clerk,Match
city clerk office of the,city clerk,Match
city clerk office of the,city clerk clerk of the council,No Match
citywide administrative services department of,department of citywide administrative services,Match
citywide event coordination and management office of,mayors office of citywide event coordination and management,Match
citywide event coordination and management office of,office of citywide event coordination and management,Match
civil service commission,civil service commission city,Match
commission to combat police corruption,police corruption commission to combat,Match
consumer and worker protection department of,department of consumer and worker protection,Match
consumer and worker protection department of,department of consumer worker protection,Match
contract services mayors office of,mayors office of contract services,Match
correction board of,board of correction,Match
design and construction department of,department of design and construction,Match
district attorney kings county,kings county district attorney,Match
district attorney kings county,district attorney kings,Match
district attorney new york county,new york county district attorney,Match
district attorney new york county,district attorney new york,Match
district attorney richmond county,richmond county district attorney,Match
economic development corporation,economic development corporation nyc,Match
elections board of,board of elections,Match
ethnic and community media mayors office of,mayors office of ethnic and community media,Match
health and mental hygiene department of,department of health and mental hygiene,Match
health and mental hygiene department of,health mental hygiene department of,Match
homeless services department of,department of homeless services,Match
housing development corporation,housing development corporation nyc,Match
housing preservation and development department of,department of housing preservation and development,Match
housing recovery operations,mayors office of housing recovery operations,Match
human rights city commission on,commission on human rights,Match
human rights city commission on,human rights commission on,Match
independent budget office nyc,independent budget office,Match
intergovernmental affairs mayors office of,mayors office of intergovernmental affairs,Match
judiciary mayors advisory committee on the,mayors advisory committee on the judiciary,Match
library queens public,queens public library,Match
mayors office for people with disabilities,office for people with disabilities,Match
mayors office of environmental remediation,office of environmental remediation,Match
mayors office of special projects community events,mayors office of special projects and community events,Match
mayors office of special projects community events,office of special projects and community events,Match
mayors office of strategic partnerships,office of strategic partnerships,Match
mayors office to end domestic and genderbased violence,office to end domestic violence and genderbased violence,Match
mayors public engagement unit,public engagement unit,Match
media and entertainment mayors office of,mayors office of media and entertainment,Match
media and entertainment mayors office of,office of media and entertainment,Match
parks and recreation department of,department of parks and recreation,Match
payroll administration office of,office of payroll administration,Match
police pension fund,nyc police pension fund,Match
prevention of hate crimes office for,office for the prevention of hate crimes,Match
prevention of hate crimes office for,mayors office for the prevention of hate crimes,Match
records and information services department of,department of records and information services,Match
school construction authority,school construction authority nyc,Match
small business services,department of small business services,Match
special enforcement mayors office of,mayors office of special enforcement,Match
sports wellness and recreation mayors office of,mayors office of sports wellness and recreation,Match
sports wellness and recreation mayors office of,office of sports wellness and recreation,Match
standards and appeals board of,board of standards and appeals,Match
taxi and limousine commission,taxi limousine commission,Match
taxi and limousine commission,nyc taxi and limousine commission,Match
transitional finance authority new york city,new york city transitional finance authority,Match
veterans services department of,department of veterans services,Match
water finance authority nyc municipal,nyc municipal water finance authority,Match
water finance authority nyc municipal,municipal water finance authority,Match
youth and community development department of,department of youth and community development,Match
bronx borough president,borough president bronx,Match
brooklyn borough president,borough president brooklyn,Match
manhattan borough president,borough president manhattan,Match
mayors office of climate and environmental justice,office of climate and environmental justice,Match
mayors office of community mental health,office of community mental health,Match
mayors office of criminal justice,criminal justice mayors office of,Match
mayors office of criminal justice,office of criminal justice,Match
mayors office of food policy,food policy mayors office of,Match
mayors office of food policy,office of food policy,Match
nyc emergency management,emergency management nyc,Match
queens borough president,borough president queens,Match
staten island borough president,borough president staten island,Match
bronx county district attorney,district attorney bronx county,Match
deputy mayor for economic and workforce development,office of the deputy mayor for economic and workforce development,Match
deputy mayor for health and human services,office of the deputy mayor for health and human services,Match
deputy mayor for operations,office of the deputy mayor for operations,Match
deputy mayor for public safety,office of the deputy mayor for public safety,Match
deputy mayor for strategic initiatives,office of the deputy mayor for strategic initiatives,Match
financial information services agency office of payroll administration,financial information services agency office of the payroll administration,Match
mayors office for economic opportunity,office for economic opportunity,Match
mayors office of risk management and compliance,office of risk management and compliance,Match
mayors office of youth employment,office of youth employment,Match
mayors office to protect tenants,office to protect tenants,Match
mayors office of talent and workforce development,talent and workforce development mayors office of,Match
nyc health hospitals,health hospitals nyc,Match
nyc office of asylum seeker operations,asylum seeker operations office of,Match
nyc office of asylum seeker operations,mayors office of asylum seeker operations,Match
nyc sheriff,sheriff,Match
office of administrative tax appeals,administrative tax appeals office of,Match
office of administrative tax appeals,tax appeals office of administrative,Match
office of collective bargaining,collective bargaining office of,Match
queens county district attorney,district attorney queens county,Match
the special commissioner of investigation for the new york city school district,special commissioner of investigation for the new york city school district,Match
young mens initiative,nyc young mens initiative,Match
administrative tax appeals office of,tax appeals office of administrative,Match
animal welfare nyc mayors office of,office of animal welfare,Match
asylum seeker operations office of,mayors office of asylum seeker operations,Match
counsel to the mayor office of,counsel to the mayor,Match
criminal justice mayors office of,office of criminal justice,Match
district attorney bronx county,district attorney bronx,Match
district attorney queens county,district attorney queens,Match
food policy mayors office of,office of food policy,Match
inspector general nypd office of the,office of the inspector general for the nypd,Match
media nyc,nyc media,Match
nyc childrens cabinet,childrens cabinet,Match
nyc commission on racial equity,commission on racial equity,Match
nyc service,mayors office nyc service,Match
