Name,Name - NYC.gov Agency List,URL,Description-nyc.gov
borough president - bronx,Borough President - Bronx,https://bronxboropres.nyc.gov/,"
The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs. Each Borough President appoints a member of the New York City Board of Education and a member of the City Planning Commission. Each also is a trustee of the New York City Employees' Retirement System. The Borough Presidents appoint members to Community Boards who serve without compensation, and each chairs a Borough Board. Each Borough President maintains a topographical bureau. The Borough President must be a citizen of the United States and resident of the borough when elected and throughout the term of office."
borough president - brooklyn,Borough President - Brooklyn,https://www.brooklyn-usa.org/,"The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs. Each Borough President appoints a member of the New York City Board of Education and a member of the City Planning Commission. Each also is a trustee of the New York City Employees' Retirement System. The Borough Presidents appoint members to Community Boards who serve without compensation, and each chairs a Borough Board. Each Borough President maintains a topographical bureau. The Borough President must be a citizen of the United States and resident of the borough when elected and throughout the term of office."
borough president - manhattan,Borough President - Manhattan,https://www.manhattanbp.nyc.gov/,"
The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs. Each Borough President appoints a member of the New York City Board of Education and a member of the City Planning Commission. Each also is a trustee of the New York City Employees' Retirement System. The Borough Presidents appoint members to Community Boards who serve without compensation, and each chairs a Borough Board. Each Borough President maintains a topographical bureau. The Borough President must be a citizen of the United States and resident of the borough when elected and throughout the term of office.

"
borough president - queens,Borough President - Queens,https://www.queensbp.nyc.gov/,"
The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs. Each Borough President appoints a member of the New York City Board of Education and a member of the City Planning Commission. Each also is a trustee of the New York City Employees' Retirement System. The Borough Presidents appoint members to Community Boards who serve without compensation, and each chairs a Borough Board. Each Borough President maintains a topographical bureau. The Borough President must be a citizen of the United States and resident of the borough when elected and throughout the term of office.

"
borough president - staten island,Borough President - Staten Island,https://www.statenislandusa.com/,"
The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs. Each Borough President appoints a member of the New York City Board of Education and a member of the City Planning Commission. Each also is a trustee of the New York City Employees' Retirement System. The Borough Presidents appoint members to Community Boards who serve without compensation, and each chairs a Borough Board. Each Borough President maintains a topographical bureau. The Borough President must be a citizen of the United States and resident of the borough when elected and throughout the term of office."
brooklyn public library (bpl),Brooklyn Public Library (BPL),http://www.bklynpubliclibrary.org/,"Discover exhibition information, events schedules, hours of operation, and an online catalog from the Brooklyn Public Library."
"city clerk, office of the (clerk)","City Clerk, Office of the (CLERK)",http://www.cityclerk.nyc.gov/,"The City Clerk issues marriage licenses, performs civil marriage ceremonies, qualifies commissioners of deeds, registers marriage officiants and domestic partnerships, files oaths of office, issues certificates of non-impediment, and registers lobbyists."
"citywide administrative services, department of (dcas)","Citywide Administrative Services, Department of (DCAS)",http://www.nyc.gov/dcas,DCAS ensures that City agencies have the critical resources and support needed to provide the best possible services to the public in several key areas.
democracynyc,DemocracyNYC,https://www1.nyc.gov/site/democracynyc/index.page,"DemocracyNYC is a nonpartisan initiative of the City of New York focused on increasing voter participation and civic engagement in NYC. Part of that mission is to encourage every eligible New Yorker to make their voice heard at the ballot box. DemocracyNYC also works to address and eliminate historic barriers to voting through public education, outreach, and policy reform efforts. Currently we are focusing on encouraging voters to participate in special and local elections by educating New Yorkers on Ranked Choice Voting and pushing for long term reform through legislation."
district attorney - bronx county,District Attorney - Bronx County,http://bronxda.nyc.gov/ ,"Pursuant to Article 13, section 13 of the State Constitution, District Attorneys are constitutional officers elected every four years. Section 927 of the County Law imposes upon District Attorneys the duty to protect the public by investigating and prosecuting criminal conduct in the counties in which they hold office."
