RecordID,Name,NameAlphabetized,Name - HOO,OperationalStatus,PreliminaryOrganizationType,Description,URL,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,PrincipalOfficerName,PrincipalOfficerTitle,PrincipalOfficerContactURL,Notes,InstanceOf,NYC.gov Agency Directory,Name - CPO,Name - Checkbook,Name - Greenbook,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov
FINAL_REC_000000,311,NYC 311,,Active,Division,,https://portal.311.nyc.gov/,,,,,,2003.0,,,,,,True,,,,,,,,311,NYC 311
FINAL_REC_000001,Accessory Sign Regulation Interagency Task Force,Accessory Sign Regulation Interagency Task Force,,Dissolved,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Accessory Sign Regulation Interagency Task Force,
FINAL_REC_000002,Administration for Children's Services,"Children's Services, Administration for","Children's Services, Administration for (ACS)",Active,Mayoral Agency,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.",https://www.nyc.gov/site/acs/index.page,,ACS,,68.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Administration+for+Children%27s+Services+%28ACS%29,1996.0,Jess Dannhauser,Commissioner,https://www.nyc.gov/site/acs/about/contact-acs.page,,,True,Administration for Children's Services,Administration for Children's Services,"Children's Services, Administration for",Administration for Children’s Services (ACS),"Children's Services, Administration for (ACS)","Children's Services, Administration for (ACS)",Administration for Children's Services (ACS),Administration for Children's Services,Administration for Children's Services
FINAL_REC_000003,Advisory Board on Implementation of Racial Justice Charter Amendments,"Implementation of Racial Justice Charter Amendments, Advisory Board on",,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Advisory Board on Implementation of Racial Justice Charter Amendments,
FINAL_REC_000004,Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",Dissolved,"Advisory, Oversight, or Regulatory Body","This site is up for historical purposes only. The New York City Advisory Commission on Property Tax Reform worked to evaluate all aspects of the current property tax system in New York City and recommend reforms to make it fairer, simpler, and more transparent, while ensuring that there is no reduction in revenue used to fund City services.",https://www.nyc.gov/site/propertytaxreform/index.page,,,,,,2018.0,Marc V. Shaw,Chair,,,,False,,,,,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",,Advisory Commission on Property Tax Reform,
FINAL_REC_000005,Advisory Committee on Female Genital Mutilation and Cutting,"Female Genital Mutilation and Cutting, Advisory Committee on",,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Advisory Committee on Female Genital Mutilation and Cutting,
FINAL_REC_000006,Advisory Council to the Center for Workplace Accessibility and Inclusion,"Center for Workplace Accessibility and Inclusion, Advisory Council to",,Active,"Advisory, Oversight, or Regulatory Body",,https://www.nyc.gov/assets/wkdev/downloads/pdf/CWAI-Advisory-Council-Members.pdf,,,,,,,,,,,,True,,,,,,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,
FINAL_REC_000007,Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",,Active,"Advisory, Oversight, or Regulatory Body",,https://www.nyc.gov/site/dfta/about/advisory-council.page,,,,,,,,,,,,True,,,,,,,,,
FINAL_REC_000008,Advisory Council for the NYC Civil Court Housing Part,"NYC Civil Court Housing Part, Advisory Council for",,Active,"Advisory, Oversight, or Regulatory Body",,https://ww2.nycourts.gov/courts/nyc/housing/advisory.shtml,,,,,,,,,,,,True,,,,,,,,Advisory Council for the NYC Civil Court Housing Part,
FINAL_REC_000009,Advisory Council on Procurement Lobbying,"Procurement Lobbying, Advisory Council on",,Active,"Advisory, Oversight, or Regulatory Body",,https://ogs.ny.gov/ACPL/,,,,,,,,,,,,False,,,,,,,,Advisory Council on Procurement Lobbying,
