Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID_x,RecordID_y,HeadOfOrganizationTitle,HeadOfOrganizationURL,Name - NYC.gov Redesign,RecordID,Name - Ops,data_source
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC_000177,,,,REC_000000,,unknown
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC_000178,,,,REC_000001,,unknown
NYC 311,NYC 311,Active,Division,,https://portal.311.nyc.gov/,Office of Technology and Innovation,Office of Technology and Innovation,?,,,,,,,,,,,,"NYC 311 was integrated into the Office of Technology and Innovation (OTI) in November 2021 through Executive Order No. 3. This integration was part of a larger effort to streamline and enhance the city's technology and innovation services by merging several technology-focused entities, including NYC Cyber Command, the NYC Office of Data Analytics (ODA), the Mayor's Office of the Chief Technology Officer (MOCTO), and the Mayor's Office of Information Privacy (MOIP). While the Department of Information Technology and Telecommunications (DoITT) continues to exist solely for legal contract purposes, its operational functions, including those of NYC 311, have been incorporated into OTI. This reorganization aims to create a unified approach to technology deployment and innovation, improving service efficiency and coordination across NYC government agencies.",2003.0,,nyc-311,2024-07-29,,,,,,,,NYC 311,,,NYC 311,NYC 311,,,311,REC_000169,,,,,REC_000082,311,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accessory sign regulation interagency task force,,,,,,REC_000150,Accessory Sign Regulation Interagency Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actuary,,REC_000000,Chief Actuary,https://www.nyc.gov/site/actuary/index.page,"Actuary, NYC Office of the (NYCOA)",REC_000122,Office of the Actuary,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,administration children services,,,,,,REC_000083,Administration for Children's Services,ops
Administration for Children's Services,"Children's Services, Administration for",Active,Mayoral Agency,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.",http://www.nyc.gov/acs,Mayor's Office,Deputy Mayor for Health and Human Services,New York City Charter,"Chapter 24-B, Section 615",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2173,"There shall be an administration for children's services, the head of which shall be the commissioner of children's services.",,,ACS,,68.0,Jess Dannhauser,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Administration+for+Children%27s+Services+%28ACS%29,,1996.0,,administration-for-childrens-services,2024-07-29,,,"Children's Services, Administration for (ACS)","Children's Services, Administration for (ACS)",Administration for Children’s Services (ACS),Administration for Children's Services (ACS),Administration for Children's Services,Administration for Children's Services,"Children's Services, Administration for",Administration for Children's Services,Administration for Children's Services (ACS),"Children's Services, Administration for (ACS)",Jess,Dannhauser,administration for children's services,REC_000000,,,,,REC_000002,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,administrative justice coordinator,,REC_000001,Administrative Justice Coordinator ,https://www.nyc.gov/site/ajc/index.page,"Administrative Justice Coordinator, NYC Office of (AJC)",REC_000084,Office of Administrative Justice Coordinator,ops
Office of Administrative Justice Coordinator,"Administrative Justice Coordinator, Office of",Active,Mayoral Office,"The Office of the Administrative Justice Coordinator (AJC) works to improve the professionalism, efficiency, transparency, and accountability of the City's administrative tribunals. The Office works with the tribunals to establish and implement Rules of Conduct for Administrative Law Judges, improve the training and recruitment of Administrative Law Judges, and enhance the public's understanding of and access to the administrative justice system.",http://www.nyc.gov/ajc,Mayor's Office,Chief Counsel to the Mayor and City Hall,Mayoral Executive Order,"Executive Order 84, 2006",https://a860-gpp.nyc.gov/concern/nyc_government_publications/cr56n122r?locale=en,This Executive Order by the Mayor announces the establishment of the position of Coordinator of Administrative Justice.,,,AJC,,,David Goldin,Administrative Justice Coordinator,,,,,office-of-administrative-justice-coordinator,2024-07-29,,,"Administrative Justice Coordinator, NYC Office of  (AJC)","Administrative Justice Coordinator, NYC Office of  (AJC)",,Office of the Administrative Justice Coordinator (AJC),,Office of Administrative Justice Coordinator,,,Office of Administrative Justice Coordinator (AJC),"Administrative Justice Coordinator, Office of (AJC)",David,Goldin,administrative office justice coordinator,REC_000183,,,,,REC_000003,,nyc_agencies_export
Office of Administrative Services,"Administrative Services, Office of",Active,Mayoral Office,,,Mayor's Office,Chief Advisor to the Mayor,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,2023.0,,office-of-administrative-services,2024-07-29,,,,,,,,,,,Office of Administrative Services,"Administrative Services, Office of",,,administrative office services,REC_000250,,,,,REC_000004,,nyc_agencies_export
Office of Administrative Tax Appeals,"Administrative Tax Appeals, Office of",Active,Mayoral Agency,"The Office of Administrative Tax Appeals was established by Local Law 57 of 2007 to bring together the agencies that provide fair, independent and efficient appeals of the taxes administered by the City of New York.",http://www.nyc.gov/oata,Mayor's Office,First Deputy Mayor,New York City Charter,"Chapter 7, Section 150",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-680,"There shall be an office of administrative tax appeals, which shall consist of the tax commission established by section one hundred fifty-three of this charter and the tax appeals tribunal established by section one hundred sixty-eight of this charter and shall provide staff and administrative assistance to such commission and such tribunal. The office of administrative tax appeals shall operate pursuant to a written agreement between the president of the tax commission and the president of the tax appeals tribunal, and shall be headed by a director appointed in accordance with such agreement. Such director may be the president of the tax commission or the president of the tax appeals tribunal or both. If there is no such agreement, such office shall provide staff and administrative assistance to such commission and such tribunal in accordance with the respective powers of such presidents.",,,OATA,,21.0,Frances Henn,Director,,,2007.0,,office-of-administrative-tax-appeals,2024-07-29,,,"Administrative Tax Appeals, Office of","Administrative Tax Appeals, Office of",,Office of Administrative Tax Appeals (OATA),Office of Administrative Tax Appeals,Office of Administrative Tax Appeals,"Tax Appeals, Office Of Administrative",Office of Administrative Tax Appeals,Office of Administrative Tax Appeals (OATA),"Administrative Tax Appeals, Office of (OATA)",Frances,Henn,administrative office tax appeals,REC_000184,,,,,REC_000005,,nyc_agencies_export
Office of Administrative Trials and Hearings,"Administrative Trials and Hearings, Office of",Active,Mayoral Agency,The NYC Office of Administrative Trials and Hearings (OATH) is an independent city agency responsible for holding administrative hearings on cases that are filed by other NYC agencies. OATH is comprised of four different administrative tribunals: the Environmental Control Board; OATH Health Tribunal; OATH Taxi Tribunal and OATH Tribunal.,http://www.nyc.gov/oath,Mayor's Office,Chief Counsel to the Mayor and City Hall,New York City Charter,"Chapter 45-A, Section 1048",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6837,"There shall be an office of administrative trials and hearings which shall conduct adjudicatory hearings for all agencies of the city unless otherwise provided for by executive order, rule, law or pursuant to collective bargaining agreements. The office shall be directed by the chief administrative law judge, who shall be an attorney admitted to practice for at least five years in the state of New York. The chief administrative law judge shall be appointed by the mayor.",,,OATH,,820.0,Asim Rehman,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Administrative+Trials+and+Hearings+%28OATH%29,,1979.0,,office-of-administrative-trials-and-hearings,2024-07-29,,,"Administrative Trials and Hearings, Office of (OATH)","Administrative Trials and Hearings, Office of (OATH)",Office of Administrative Trials and Hearings (OATH),Office of Administrative Trials and Hearings (OATH),Office of Administrative Trial and Hearings,Office of Administrative Trials and Hearings,"Administrative Trials And Hearings, Office of",Office of Administrative Trials and Hearings,Office of Administrative Trials and Hearings (OATH),"Administrative Trials and Hearings, Office of (OATH)",Asim,Rehman,administrative office trials and hearings,REC_000185,,,,,REC_000006,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,administrative tax appeals,,REC_000002,President & Commissioner  ,https://www.nyc.gov/site/oata/index.page,"Administrative Tax Appeals, Office of",REC_000124,Office of Administrative Tax Appeals,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,administrative trials hearings,,REC_000003,Commissioner & Chief Administrative Law Judge,https://www.nyc.gov/site/oath/index.page,"Administrative Trials and Hearings, Office of (OATH)",REC_000125,Office of Administrative Trials and Hearings,ops
Office of Advance,"Advance, Office of",Active,Mayoral Office,,,Mayor's Office,Mayor's Office Chief of Staff,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,,,office-of-advance,2024-07-29,,,,,,,,,,,Office of Advance,"Advance, Office of",,,advance office,REC_000252,,,,,REC_000007,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory board implementation racial justice charter amendments,,,,,,REC_000139,Advisory Board on Implementation of Racial Justice Charter Amendments,ops
Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on",Active,"Advisory, Oversight, or Regulatory Body","This site is up for historical purposes only. The New York City Advisory Commission on Property Tax Reform worked to evaluate all aspects of the current property tax system in New York City and recommend reforms to make it fairer, simpler, and more transparent, while ensuring that there is no reduction in revenue used to fund City services.",https://www1.nyc.gov/site/propertytaxreform/index.page,,Independent,Mayoral Executive Order,"Executive Order 37, 2018",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6969z449s?locale=en,The Mayor establishes the Advisory Commission on Property Tax Reform. The Commission shall evaluate New York City's current Real Property Tax System.,,,,,,,Chair,,,2018.0,,advisory-commission-on-property-tax-reform,2024-07-29,,,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",,,,,,,Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on",,,advisory commission on property tax reform,REC_000226,,,,,REC_000008,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory commission property tax reform,,,,,,REC_000145,Advisory Commission on Property Tax Reform,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory committee female genital mutilation cutting,,,,,,REC_000142,Advisory Committee on Female Genital Mutilation and Cutting,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory council center workplace accessibility inclusion,,,,,,REC_000141,Advisory Council to the Center for Workplace Accessibility and Inclusion,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory council civil court housing part,,,,,,REC_000143,Advisory Council for the NYC Civil Court Housing Part,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory council procurement lobbying,,,,,,REC_000144,Advisory Council on Procurement Lobbying,ops
Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",Active,"Advisory, Oversight, or Regulatory Body",,,Department for the Aging,Department for the Aging,New York City Charter,"Chapter 66, Section 2403",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5823,There shall be in the department an advisory council consisting of thirty-one members at least sixteen of whom shall be recipients of services rendered to older adults,,,,,,,,,,,,advisory-council-to-the-department-for-the-aging,2024-07-29,,,,,,,,,,,Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",,,advisory council to the department for the aging,REC_000001,,,,,REC_000009,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,age friendly commission,,,,,,REC_000146,Age Friendly Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aging department,,REC_000004,Commissioner,https://www.nyc.gov/site/dfta/index.page,"Aging, Department for the (NYC Aging)",REC_000010,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algorithm advisory committee,,,,,,REC_000137,Algorithm Advisory Committee,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,animal care centers new york city,,,,,,REC_000140,Animal Care Centers of NYC,ops
Office of Animal Welfare,"Animal Welfare, Office of",Active,Mayoral Office,"The Office of Animal Welfare recognizes the exchange between human social justice issues, environmental sustainability, and animal welfare, and therefore aims to facilitate solutions that address the integrated nature of these problems.",https://www1.nyc.gov/site/animalwelfare/index.page,Mayor's Community Affairs Unit,Mayor's Community Affairs Unit,New York City Charter,"Chapter 23, Section 581",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2139,"The mayor shall establish an office of animal welfare. Such office may, but need not, be established in the executive office of the mayor and may be established as a separate office, within any other office of the mayor or within any department, the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or the head of such department. For the purposes of this section, ""director"" means the director of the office of animal welfare. The director may appoint deputies and staff within available appropriations.",,,,,,Alexandra Silver,Director,,,2019.0,,office-of-animal-welfare,2024-07-29,,,"Animal Welfare, NYC Mayor’s Office of","Animal Welfare, NYC Mayor’s Office of",,Office of Animal Welfare,,Office of Animal Welfare,,,Office of Animal Welfare,"Animal Welfare, Office of",Alexandra,Silver,animal office welfare,REC_000186,,,,,REC_000011,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,animal welfare mayor,,REC_000005,Director,https://www.nyc.gov/site/animalwelfare/index.page,"Animal Welfare, NYC Mayor's Office of",REC_000012,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,appointments mayor,,REC_000006,Director,https://www.nyc.gov/content/appointments/pages/,"Appointments, Mayor's Office (MOA)",REC_000013,,nyc_gov
Archival Review Board,Archival Review Board,Active,Division,,,Department of Records and Information Systems,Department of Records and Information Systems,New York City Charter,"Chapter 72, Section 3005",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6585,There shall be in the department an archival review board which shall consist of five members,,,,,,,,,,2002.0,,archival-review-board,2024-07-29,,,,,,,,,,,Archival Review Board,Archival Review Board,,,archival review board,REC_000002,,,,,REC_000148,Archival Review Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives reference research advisory board,,,,,,REC_000149,"Archives, Reference and Research Advisory Board",ops
Art Commission,Art Commission,Reorganized,"Advisory, Oversight, or Regulatory Body",,,,,New York City Charter,"Chapter 37, Section 851",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2603,"There shall be an art commission the members of which shall be the mayor, who may appoint a person to represent him and replace such representative at his pleasure, the president of the Metropolitan Museum of Art, the president of the New York Public Library (Astor, Lenox and Tilden foundations), the president of the Brooklyn Museum, one painter, one sculptor, one architect, and one landscape architect, all of whom shall be residents of the city, and three other residents of the city no one of whom shall be a painter, sculptor, architect, landscape architect or active member of any other profession in the fine arts.",,,,,,,,,,,,art-commission,2024-07-29,,,,,,,,,,,Art Commission,Art Commission,,,art commission,REC_000003,,,,,REC_000014,,nyc_agencies_export
Association for a Better New York,Association for a Better New York,Active,Non-Governmental Organization,,https://abny.org/,,,New York State Law,,,,,,ABNY,,,,,,,1971.0,,association-for-a-better-new-york,2024-07-29,,,,,,Association for a Better New York (ABNY),,,,,Association for a Better New York (ABNY),Association for a Better New York (ABNY),,,association for a better new york,REC_000004,,,,,REC_000015,,nyc_agencies_export
Office of Asylum Seeker Operations,"Asylum Seeker Operations, Office of",Active,Mayoral Office,"The NYC Office of Asylum Seeker Operations (OASO) work recognizes the city’s response to the emerging asylum seekers’ migration from the border to our city. Created in March 2023, OASO is primarily responsible for overseeing and coordinating all support services for asylum seekers and their families. ",https://www.nyc.gov/site/asylumseekers/index.page,Mayor's Office,Mayor's Office Chief of Staff,Press Release,"March 7, 2023 Press Release",https://www.nyc.gov/office-of-the-mayor/news/158-23/mayor-adams-releases-the-road-forward-new-blueprint-handle-asylum-seeker-crisis-moving-forward#/0,"Mayor Adams announced he will create the Office of Asylum Seeker Operations (OASO) to focus solely on coordinating the city’s continued response with a focus on resettlement and legal services, as well as a new 24/7 arrival center for asylum seekers.",,,OASO,,,Molly Schaeffer,Director,,,2023.0,,office-of-asylum-seeker-operations,2024-07-29,,,"Asylum Seeker Operations, Office of","Asylum Seeker Operations, Office of",,NYC Office of Asylum Seeker Operations (OASO),,,,,Office of Asylum Seeker Operations (OASO),"Asylum Seeker Operations, Office of (OASO)",Molly,Schaeffer,asylum office seeker operations,REC_000179,,,,,REC_000016,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asylum seeker operations,,REC_000007,Director,https://www.nyc.gov/site/asylumseekers/index.page,"Asylum Seeker Operations, Office of",REC_000060,Office of Asylum Seeker Operations,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atlantic yards community development corporation,,,,,,REC_000152,Atlantic Yards Community Development Corporation (AYCDC),ops
Audit Committee,Audit Committee,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 5, Section 97",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-583,"There shall be an audit committee which shall consist of the mayor, the comptroller, the public advocate and four private members appointed by the mayor, two of whom shall be appointed upon the recommendation of the comptroller. The members of the committee shall elect a private member as chair for an annual term commencing on the first day of March.",,,AUDIT,,,,,,,1979.0,,audit-committee,2024-07-29,,,,,,,,,,,Audit Committee (AUDIT),Audit Committee (AUDIT),,,audit committee,REC_000005,,,,,REC_000151,Audit Committee,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banking commission,,,,,,REC_000154,Banking Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black car livery task force,,,,,,REC_000160,Black Car and Livery Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board collective bargaining,,,,,,REC_000158,Board of Collective Bargaining,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board correction,,,,,,REC_000166,Board of Correction,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board education retirement system,,REC_000008,Executive Director ,https://www.bers.nyc.gov/,Board of Education Retirement System (BERS),REC_000017,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board elections,,,,,,REC_000386,Board of Elections,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board health,,,,,,REC_000167,Board of Health,ops
Board of Correction,"Correction, Board of",Active,"Advisory, Oversight, or Regulatory Body","The NYC Board of Correction establishes and ensures compliance with minimum standards regulating conditions of confinement and correctional health and mental health care in all City correctional facilities. The Board monitors conditions in the City's jails, investigates serious incidents, evaluates the performance of the Department of Correction, reviews inmate and employee grievances, and makes recommendations in critical areas of correctional planning.",http://www.nyc.gov/boc,,Deputy Mayor for Public Safety,New York City Charter,"Chapter 25, Section 626",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2217,"There shall be a city board of correction to consist of nine members. Members shall be appointed for a term of six years. Vacancies shall be filled for the remainder of the unexpired term. Three members shall be appointed by the mayor, three by the council, and three by the mayor on the nomination jointly by the presiding justices of the appellate division of the supreme court for the first and second judicial departments. Appointments shall be made by the three respective appointing authorities on a rotating basis to fill any vacancy occurring on or after the effective date of this charter. Members of the board may be reimbursed for expenses incurred in the performance of their duties. The chairman of the board shall be designated from time to time by the mayor from among its members. Members of the board may be removed by the mayor for cause and after a hearing at which they shall be entitled to representation by counsel.",,,BOC,,73.0,Jasmine Georges-Villa,Interim Executive Director,,,1957.0,,board-of-correction,2024-07-29,,,"Correction, Board of (BOC)","Correction, Board of (BOC)",,Board of Correction (BOC),Board of Correction,Board of Correction,"Correction, Board of",Board of Correction,Board of Correction (BOC),"Correction, Board of (BOC)",Jasmine,Georges-Villa,board of correction,REC_000006,,,,,REC_000018,,nyc_agencies_export
