PrimaryRecordID,SecondaryRecordID,Notes
FINAL_REC_000258,FINAL_REC_000342,"Manual merge of duplicate records"
FINAL_REC_000469,,"{""Name"": ""National September 11 Memorial & Museum"", ""NameAlphabetized"": ""National September 11 Memorial & Museum"", ""AlternateNames"": ""World Trade Center Memorial Foundation; 9/11 Memorial & Museum""}"
FINAL_REC_000312,,"{""Name"": ""New York City Tourism + Conventions"", ""NameAlphabetized"": ""New York City Tourism + Conventions"", ""AlternateNames"": ""NYC & Company""}"
FINAL_REC_000300,,"{""Name"": ""Mayor's Office of the Utility Consumer Advocate"", ""NameAlphabetized"": ""Utility Consumer Advocate, Mayor's Office of the"", ""URL"": ""https://climate.cityofnewyork.us/ask-utility-consumer-advocate/"", ""PrincipalOfficerContactURL"": ""https://climate.cityofnewyork.us/ask-utility-consumer-advocate/""}"
FINAL_REC_000470,,"{""Name"": ""Perelman Performing Arts Center"", ""NameAlphabetized"": ""Perelman Performing Arts Center"", ""AlternateNames"": ""World Trade Center Performing Arts Center; PAC NYC"", ""URL"": ""https://pacnyc.org/""}"
FINAL_REC_000046,,"{""NameAlphabetized"": ""Center for Brooklyn History"", ""PreliminaryOrganizationType"": ""Division"", ""Acronym"": ""CBH"", ""URL"": ""https://www.bklynlibrary.org/center-for-brooklyn-history""}"
FINAL_REC_000324,,"{""OperationalStatus"": ""Active""}"
FINAL_REC_000324,FINAL_REC_000295,"Merge records"
FINAL_REC_000324,FINAL_REC_000323,"Merge records"
FINAL_REC_000361,,"{""OperationalStatus"": ""Active""}"
FINAL_REC_000361,FINAL_REC_000360,"Merge records"
FINAL_REC_000361,FINAL_REC_000129,"Merge records"
FINAL_REC_000114,,"{""OperationalStatus"": ""Reorganized""}"
FINAL_REC_000026,,"{""NameAlphabetized"": ""Borough President - Bronx"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Elected Office"", ""FoundingYear"": 1898}"
FINAL_REC_000027,,"{""NameAlphabetized"": ""Borough President - Brooklyn"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Elected Office"", ""FoundingYear"": 1898}"
FINAL_REC_000028,,"{""NameAlphabetized"": ""Borough President - Manhattan"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Elected Office"", ""FoundingYear"": 1898}"
FINAL_REC_000029,,"{""NameAlphabetized"": ""Borough President - Queens"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Elected Office"", ""FoundingYear"": 1898}"
FINAL_REC_000030,,"{""NameAlphabetized"": ""Borough President - Staten Island"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Elected Office"", ""FoundingYear"": 1898}"
FINAL_REC_000119,,"{""NameAlphabetized"": ""Community Services Board"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Advisory, Oversight, or Regulatory Body""}"
FINAL_REC_000120,,"{""NameAlphabetized"": ""Advisory, Oversight, or Regulatory Body""}"
FINAL_REC_000121,,"{""NameAlphabetized"": ""Advisory, Oversight, or Regulatory Body""}"
FINAL_REC_000122,,"{""NameAlphabetized"": ""Advisory, Oversight, or Regulatory Body""}"
FINAL_REC_000356,FINAL_REC_000357,"Merge records"
FINAL_REC_000256,,"{""Name"": ""Mayor's Office of Media and Research Analysis"", ""NameAlphabetized"": ""Media and Research Analysis, Mayor's Office of"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Mayoral Office""}"
FINAL_REC_000291,,"{""Name"": ""Mayor's Office of Speechwriting"", ""NameAlphabetized"": ""Speechwriting, Mayor's Office of"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Mayoral Office""}"
FINAL_REC_000395,,"{""Name"": ""Bronx County Public Administrator""}"
FINAL_REC_000234,,"{""PreliminaryOrganizationType"": ""State Government Agency""}"
FINAL_REC_000401,,"{""Name"": ""Public Administrator of Queens County"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""State Government Agency"", ""URL"": ""https://www.queenscountypa.com/""}"
FINAL_REC_000412,,"{""Name"": ""Richmond County Public Administrator"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""State Government Agency"", ""URL"": ""https://www.nyc.gov/site/rcpa/index.page""}"
FINAL_REC_000430,,"{""Name"": ""Sustainability Advisory Board"", ""NameAlphabetized"": ""Sustainability Advisory Board"", ""AlternateNames"": ""OneNYC""}"
FINAL_REC_000439,,"{""NameAlphabetized"": ""Commercial Incentive Area Boundary, Temporary Commission"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Advisory, Oversight, or Regulatory Body""}"
FINAL_REC_000446,,"{""NameAlphabetized"": ""Traffic Mobility Review Board"", ""OperationalStatus"": ""Active"", ""PreliminaryOrganizationType"": ""Advisory, Oversight, or Regulatory Body""}"
FINAL_REC_000421,,"{""Name"": ""Sheriff Office"", ""NameAlphabetized"": ""Sheriff Office""}" 
