Source,Target,Score,Label,SourceID,TargetID,Notes
Mayor's Office of Criminal Justice|Office of Civil Justice,,100.0,Match,REC_000122,HOO_000001,Exact match after normalization
,Mayor's Office of Urban Agriculture,100.0,Match,HOO_000001,REC_000148,
New York City Housing Authority,,100.0,Match,REC_000175,HOO_000001,
,New York City Water Board,100.0,Match,HOO_000001,OPS_000375,
Trust for Governors Island,,100.0,Match,REC_000087,HOO_000001,Exact match after normalization
Mayor's Office of Community Mental Health,Mayor's Office of Community Mental Health,100.0,Match,REC_000120,REC_000120,
Office of Animal Welfare,Office of Animal Welfare,100.0,Match,REC_000186,REC_000186,
Office of Food Policy,Office of Food Policy,100.0,Match,REC_000196,REC_000196,
Mayor's Office of Management and Budget,Mayor's Office of Management and Budget,100.0,Match,REC_000202,REC_000202,
Office of Nightlife,Office of Nightlife,100.0,Match,REC_000205,REC_000205,
,,100.0,Match,HOO_000001,HOO_000001,
Mayor's Office of Environmental Coordination|Mayor's Office of Environmental Remediation,Mayor's Office of Environmental Coordination|Mayor's Office of Environmental Remediation,100.0,Match,REC_000125,REC_000125,
Mayor's Fund to Advance New York City,,100.0,Match,REC_000106,HOO_000001,
Office of Correspondence,Office of Correspondence,100.0,Match,REC_000253,REC_000253,
,Children's Cabinet,100.0,Match,HOO_000124,REC_000171,
Department of Environmental Protection,,100.0,Match,REC_000052,HOO_000001,
,,100.0,Match,HOO_000001,HOO_000001,
New York City Office of the Actuary,,100.0,Match,REC_000163,HOO_000001,
New York City Office of the Actuary,,100.0,Match,REC_000163,HOO_000001,
,,100.0,Match,HOO_000001,OPS_000135,
,Trust for Governors Island,100.0,Match,HOO_000001,REC_000087,
,,100.0,Match,HOO_000001,HOO_000001,
NYC 311,,100.0,Match,OPS_000083,HOO_000001,
,Human Resources Administration,100.0,Match,HOO_000001,REC_000095,
,,100.0,Match,HOO_000001,HOO_000001,
Children's Cabinet,Children's Cabinet,100.0,Match,REC_000171,REC_000171,
,,100.0,Match,HOO_000001,HOO_000001,
Young Men's Initiative,Young Men's Initiative,100.0,Match,REC_000246,REC_000246,
,Mayor's Office of Talent and Workforce Development,100.0,Match,HOO_000001,REC_000147,
,Office of Technology and Innovation,100.0,Match,HOO_000134,REC_000209,
Mayor's Office of Faith-Based and Community Partnerships,Mayor's Office of Faith-Based and Community Partnerships,100.0,Match,REC_000129,REC_000129,
,Commission on Gender Equity|Commission on Racial Equity,100.0,Match,HOO_000001,REC_000033,
Children's Cabinet,Children's Cabinet,100.0,Match,REC_000171,REC_000171,
,NYC Media,100.0,Match,HOO_000001,REC_000176,
,,100.0,Match,HOO_000001,HOO_000001,
,Advisory Commission on Property Tax Reform,100.0,Match,HOO_000001,REC_000226,
Mayor's Office of Environmental Coordination|Mayor's Office of Environmental Remediation,Mayor's Office of Environmental Coordination|Mayor's Office of Environmental Remediation,100.0,Match,REC_000125,REC_000125,
,,100.0,Match,HOO_000001,HOO_000001,
Mayor's Office of Contract Services|Office of Administrative Services,,100.0,Match,REC_000121,HOO_000001,
New York City Office of the Actuary,New York City Office of the Actuary,100.0,Match,REC_000163,REC_000163,
Mayor's Office of Minority and Women-Owned Business Enterprises,,100.0,Match,REC_000136,HOO_000001,Exact match after normalization
Office of the Special Narcotics Prosecutor,Office of the Special Narcotics Prosecutor,100.0,Match,REC_000218,REC_000218,
,,100.0,Match,HOO_000001,HOO_000001,
,Office of the City Sheriff,100.0,Match,HOO_000001,REC_000213,
,,100.0,Match,HOO_000001,HOO_000001,
,,100.0,Match,HOO_000001,HOO_000001,
Mayor's Office of Policy and Planning,,100.0,Match,REC_000140,HOO_000001,Exact match after normalization
Mayor's Press Office,,100.0,Match,REC_000258,HOO_000001,Exact match after normalization
Office of Capital Project Development,Office of Capital Project Development,100.0,Match,REC_000256,REC_000256,Exact match after normalization
,New York City Housing Authority,100.0,Match,HOO_000001,REC_000175,
Young Men's Initiative,,100.0,Match,REC_000246,HOO_000001,Exact match after normalization
Office of Innovation and Delivery,Office of Innovation and Delivery,100.0,Match,REC_000198,REC_000198,Exact match after normalization
NYC Tourism + Conventions,,100.0,Match,REC_000181,HOO_000001,Exact match after normalization
Mayor's Public Engagement Unit,,100.0,Match,REC_000152,HOO_000001,Exact match after normalization
Mayor's Office of Appointments,,100.0,Match,REC_000115,HOO_000001,Exact match after normalization
Mayor's Office of Urban Agriculture,,100.0,Match,REC_000148,HOO_000001,Exact match after normalization
Mayor's Office of Special Projects and Community Events,,100.0,Match,REC_000143,HOO_000001,Exact match after normalization
Tax Commission|Art Commission,,100.0,Match,OPS_000358,HOO_000001,
Mayor's Office of Pensions and Investments,,100.0,Match,REC_000139,HOO_000001,Exact match after normalization
,Office of Asylum Seeker Operations,100.0,Match,HOO_000007,REC_000179,
Mayor's Office of Operations,,100.0,Match,REC_000138,HOO_000001,Exact match after normalization
Center for Innovation through Data Intelligence,,100.0,Match,REC_000020,HOO_000001,Exact match after normalization
Mayor's Office of Strategic Partnerships,,100.0,Match,REC_000146,HOO_000001,Exact match after normalization
,,100.0,Match,HOO_000002,HOO_000001,
Mayor's Office of Climate and Environmental Justice,,100.0,Match,REC_000118,HOO_000001,Exact match after normalization
NYC Emergency Management,,100.0,Match,REC_000173,HOO_000001,Exact match after normalization
,Mayor's Office of Criminal Justice|Office of Civil Justice,100.0,Match,HOO_000001,REC_000122,
New York City Loft Board|Youth Board,,100.0,Match,OPS_000268,HOO_000001,
Office of Labor Relations,,100.0,Match,REC_000199,HOO_000001,
Mayor's Office for Economic Opportunity,,100.0,Match,REC_000110,HOO_000001,Exact match after normalization
Independent Budget Office Advisory Committee,,100.0,Match,REC_000097,HOO_000001,
,Office of Community Hiring,100.0,Match,HOO_000037,REC_000191,
