Source,Target,Score,Label,SourceID,TargetID,Notes
mayor's criminal office justice,mayors office of criminal justice,100,Match,REC_000122,OPS_000038,Exact match after normalization
"Urban Agriculture, Mayor's Office of",Mayor's Office of Urban Agriculture,100,Match,HOO_000172,REC_000148,
New York City Housing Authority,NYC Housing Authority,100,Match,OPS_000122,OPS_000122,
new york city water board,water board,100,Match,REC_243584,OPS_000375,
trust for governors island,trust governors island,100,Match,REC_000087,OPS_000363,Exact match after normalization
Mayor's Office of Community Mental Health,Office of Community Mental Health,100,Match,REC_000120,OPS_000064,
"Judiciary, Mayors Advisory Committee on the (MACJ) ","Judiciary, Mayors Advisory Committee on the (MACJ) ",100,Match,HOO_000081,HOO_000081,
Office of Animal Welfare,Mayor's Office of Animal Welfare,100,Match,REC_000186,OPS_000035,
Office of Food Policy,Mayor's Office of Food Policy,100,Match,REC_000196,OPS_000042,
Mayor's Office of Management and Budget,Office of Management and Budget,100,Match,REC_000202,OPS_000130,
Office of Nightlife,Mayor's Office of Nightlife,100,Match,REC_000205,OPS_000058,
Transitional Finance Authority,NYC Transitional Finance Authority,100,Match,REC_000240,OPS_000416,
Mayor's Office of Environmental Remediation,Office of Environmental Remediation,100,Match,REC_000126,OPS_000066,
Mayor's Fund to Advance New York City,Mayor's Fund to Advance NYC,100,Match,REC_000106,OPS_000032,
Office of Correspondence,Mayor's Office of Correspondence,100,Match,REC_000253,OPS_000036,
NYC Children's Cabinet ,New York City Children's Cabinet ,100,Match,HOO_000124,OPS_000088,
Department of Environmental Protection,Department of Environment Protection,100,Match,REC_000052,OPS_000094,
new york city transitional finance authority,transitional finance authority new york city,100,Match,OPS_000416,REC_936719,
actuary,new york city actuary,100,Match,REC_536279,REC_157795,
actuary,actuary new york city,100,Match,REC_536279,REC_337677,
new york city sheriff,sheriff,100,Match,REC_032939,OPS_000135,
"Governors Island, Trust for",Trust for Governors Island,100,Match,HOO_000065,REC_000087,
"Food Policy, Mayor's Office of","Food Policy, Mayor's Office of",100,Match,HOO_000064,HOO_000064,
department education,education department,100,Match,REC_608116,REC_000051,
311,new york city 311,100,Match,OPS_000083,REC_460937,
department social services,department social services human resources administration,100,Match,OPS_000107,OPS_000109,
department social services,department social services department homeless services,100,Match,OPS_000107,OPS_000108,
Children's Cabinet,New York City Children's Cabinet ,100,Match,REC_000171,OPS_000088,
new york city young men initiative,young men initiative,100,Match,REC_462352,REC_973726,
NYC Young Men's Initiative ,Young Men's Initiative,100,Match,HOO_000132,REC_000246,
"Talent and Workforce Development, Mayor's Office of ",Mayor's Office of Talent and Workforce Development,100,Match,HOO_000164,OPS_000378,
NYC Sheriff,NYC Sheriff,100,Match,HOO_000130,HOO_000130,
NYC Service ,NYC Service ,100,Match,HOO_000130,HOO_000130,
"Office of Technology and Innovation, New York City ",Office of Technology and Innovation,100,Match,HOO_000134,OPS_000132,
Mayor's Office of Faith-Based and Community Partnerships,Office of Faith-Based and Community Partnerships,100,Match,REC_000129,OPS_000067,
NYC Emergency Management,NYC Emergency Management,100,Match,REC_000173,REC_000173,
NYC Commission on Racial Equity,Commission on Racial Equity,100,Match,HOO_000125,REC_000035,
NYC Children's Cabinet ,Children's Cabinet,100,Match,OPS_000088,REC_000171,
"Media, NYC",NYC Media,100,Match,HOO_000123,REC_000176,
children cabinet,new york city children cabinet,100,Match,REC_848556,REC_037622,
"Property Tax Reform, Advisory Commission on",Advisory Commission on Property Tax Reform,100,Match,HOO_000143,REC_000226,
Mayor's Office of Community Mental Health,Mayor's Office of Community Mental Health,100,Match,HOO_000120,HOO_000120,
Mayor's Office of Climate and Environmental Justice ,Mayor's Office of Climate and Environmental Justice,100,Match,HOO_000119,REC_000118,
Mayor's Office of Environmental Coordination,Office of Environmental Coordination,100,Match,REC_000125,OPS_000065,
Mayor's Office of Engagement,Office of Engagement,100,Match,REC_000124,OPS_000024,
Mayor's Office to End Domestic and Gender-Based Violence,Mayor’s Office to End Domestic and Gender-Based Violence,100,Match,REC_000150,OPS_000023,
Public Design Commission ,Public Design Commission,100,Match,HOO_000150,OPS_000316,
"Public Schools,New York City","Public Schools,New York City",100,Match,HOO_000151,HOO_000151,
Office of Administrative Services,Mayor's Office of Administrative Services,100,Match,REC_000250,OPS_000034,
New York City Office of the Actuary,Office of the Actuary,100,Match,REC_000163,OPS_000123,
Special Commissioner of Investigation for the New York City School District,Special Commissioner of Investigation for the New York City School District,100,Match,REC_000233,REC_000233,
mayor's minority office and women-owned business enterprises,mayors office of minority and womenowned business enterprises,100,Match,REC_000136,OPS_000057,Exact match after normalization
Mayor's Office for Economic Opportunity,Mayor's Office for Economic Opportunity,100,Match,REC_000110,REC_000110,
Office of the Special Narcotics Prosecutor,NYC Office of the Special Narcotics Prosecutor,100,Match,REC_000218,OPS_000136,
"TSASC, Inc","TSASC, Inc.",100,Match,HOO_000163,REC_000241,
police department,police department new york city,100,Match,OPS_000124,REC_324614,
new york city sheriff,city sheriff,100,Match,HOO_000130,REC_000213,
education department,department education,100,Match,REC_000051,OPS_000098,
public schools new york city,education department,100,Match,HOO_000151,REC_000051,
mayor's policy office and planning,mayors office of policy and planning,100,Match,REC_000140,OPS_000049,Exact match after normalization
mayor's press office,mayors press office,100,Match,REC_000258,OPS_000075,Exact match after normalization
capital office project development,office of capital project development,100,Match,REC_000256,OPS_000018,Exact match after normalization
housing authority new york city,new york city housing authority,100,Match,REC_264716,OPS_000122,
young men's initiative,young mens initiative,100,Match,REC_000246,OPS_000082,Exact match after normalization
innovation office and delivery,office of innovation and delivery,100,Match,REC_000198,OPS_000068,Exact match after normalization
tourism and conventions,new york city tourism and conventions,100,Match,REC_000181,OPS_000304,Exact match after normalization
mayor's public engagement unit,mayors public engagement unit,100,Match,REC_000152,OPS_000074,Exact match after normalization
Charter Revision Commission,Charter Revision Commission,100,Match,OPS_000201,OPS_000201,
mayor's appointments office,mayors office of appointments,100,Match,REC_000115,OPS_000033,Exact match after normalization
mayor's urban office agriculture,mayors office of urban agriculture,100,Match,REC_000148,OPS_000053,Exact match after normalization
mayor's special office projects and community events,mayors office of special projects and community events,100,Match,REC_000143,OPS_000052,Exact match after normalization
Borough President- Staten Island ,Borough President- Staten Island ,100,Match,,,
tax commission,tax commission new york city,100,Match,OPS_000358,HOO_000166,
Borough President- Queens,Borough President- Queens,100,Match,,,
Borough President- Manhattan,Borough President- Manhattan,100,Match,,,
Borough President- Brooklyn,Borough President- Brooklyn,100,Match,,,
Borough President- Bronx,Borough President- Bronx,100,Match,,,
mayor's pensions office and investments,mayors office of pensions and investments,100,Match,REC_000139,OPS_000048,Exact match after normalization
"Asylum Seeker Operations, Office of ",Office of Asylum Seeker Operations,100,Match,HOO_000007,OPS_000061,
mayor's operations office,mayors office of operations,100,Match,REC_000138,OPS_000070,Exact match after normalization
"Animal Welfare, NYC Mayor's Office of  ","Animal Welfare, NYC Mayor's Office of  ",100,Match,HOO_000005,HOO_000005,
center for innovation through data intelligence,center innovation through data intelligence,100,Match,REC_000020,OPS_000016,Exact match after normalization
mayor's strategic office partnerships,mayors office of strategic partnerships,100,Match,REC_000146,OPS_000072,Exact match after normalization
"Administrative Tax Appeals, Office of  ",Office of Administrative Tax Appeals,100,Match,HOO_000002,OPS_000125,
mayor's climate office and environmental justice,mayors office of climate and environmental justice,100,Match,REC_000118,OPS_000037,Exact match after normalization
emergency management,new york city emergency management,100,Match,REC_000173,OPS_000120,Exact match after normalization
NYC Tourism + Conventions,NYC Tourism + Conventions,100,Match,REC_000181,REC_000181,
District Attorney- Queens County,District Attorney- Queens County,100,Match,,,
District Attorney- Bronx County,District Attorney- Bronx County,100,Match,,,
NYC Service ,NYC Service,100,Match,HOO_000129,OPS_000077,
Department of Youth and Community Development,Department of Youth & Community Development,100,Match,OPS_000111,OPS_000111,
DemocracyNYC,DemocracyNYC,100,Match,OPS_000021,OPS_000021,
"Criminal Justice, Mayor's Office of",Mayor's Office of Criminal Justice,100,Match,HOO_000045,REC_000122,
"Counsel to the Mayor, Office of","Counsel to the Mayor, Office of",100,Match,HOO_000044,HOO_000044,
loft board,new york city loft board,100,Match,OPS_000268,REC_660568,
labor relations,labor relations new york city,100,Match,REC_050868,REC_142019,
mayor's office for economic opportunity,mayors office economic opportunity,100,Match,REC_000110,OPS_000060,Exact match after normalization
independent budget,independent budget new york city,100,Match,REC_393452,REC_264027,
"Community Hiring, Office of",Office of Community Hiring,100,Match,HOO_000037,OPS_000063,
new york city police pension fund,police pension fund,100,Match,REC_240998,OPS_000410,
mayor's office for international affairs,mayors office international affairs,100,Match,REC_000111,OPS_000027,Exact match after normalization
commission to combat police corruption,commission combat police corruption,100,Match,REC_000037,OPS_000188,Exact match after normalization
mayor's office for people with disabilities,mayors office people with disabilities,100,Match,REC_000112,OPS_000046,Exact match after normalization
transportation department,department transportation,100,Match,REC_000065,OPS_000104,
Mayor's Office of Citywide Event Coordination and Management,Mayor's Office of Citywide Events Coordination & Management,99.8,Match,REC_000117,OPS_000013,
Department of Records and Information Services,Department of Records & Information Service,99,Match,REC_000061,OPS_000103,
Hudson Yards Infastructure Corporation,Hudson Yards Infrastructure Corporation,99,Match,HOO_000073,OPS_000252,
Department of Design and Construction,Department of Design & Construction,98.9,Match,OPS_000093,OPS_000093,
mayor citywide event coordination management,mayor citywide events coordination management,98.9,Match,REC_559294,REC_842176,
new york city employee retirement system,new york city employees retirement system,98.8,Match,OPS_000408,REC_920448,
mayor end domestic genderbased violence,mayors end domestic genderbased violence,98.7,Match,REC_997245,REC_833373,
hudson yards infastructure corporation,hudson yards infrastructure corporation,98.7,Match,REC_187439,OPS_000252,
department records information service,department records information services,98.7,Match,REC_477120,REC_486020,
mayor talent workforce development,mayors talent workforce development,98.6,Match,REC_421536,REC_299015,
Mayor's Office of Equity and Racial Justice,Mayor's Office of Equity & Racial Justice,98.5,Match,REC_000127,OPS_000041,
mayor's office to protect tenants,mayors office protect tenants,98.5,Match,REC_000151,OPS_000050,
hosing development corporation,housing development corporation,98.4,Match,REC_710768,OPS_000246,
Department of Parks and Recreation,Department of Parks & Recreation,98.3,Match,OPS_000105,OPS_000105,
new york city health hospital,new york city health hospitals,98.3,Match,REC_358555,REC_230540,
department veteran services,department veterans services,98.2,Match,REC_921923,REC_160590,
District Attorney- Richmond County (Staten Island),District Attorney - Richmond County (Staten Island),98.2,Match,HOO_000054,OPS_000404,
mayor ethnic community media,mayors ethnic community media,98.2,Match,REC_644877,REC_125091,
District Attorney- New York County (Manhattan),District Attorney - New York County (Manhattan),98.1,Match,HOO_000052,OPS_000402,
Office of Innovation and Delivery,Office of Innovation & Delivery,98.1,Match,OPS_000068,OPS_000068,
District Attorney- Kings County (Brooklyn),District Attorney - Kings County (Brooklyn),97.9,Match,HOO_000051,OPS_000400,
mayor youth employment,mayors youth employment,97.8,Match,REC_209344,REC_900126,
office of technology and innovation new york city chief technology officer,technology and innovation new york city office of chief technology officer,97.6,Match,HOO_000134,HOO_000169,
District Attorney- Queens County,District Attorney - Queens County,97.2,Match,HOO_000053,OPS_000403,
District Attorney- Bronx County,District Attorney - Bronx County,97.1,Match,HOO_000050,OPS_000401,
department environment protection,department environmental protection,97.1,Match,REC_757284,REC_168497,
NYC Health + Hospital,NYC Health + Hospitals,97,Match,HOO_000128,REC_000174,
Department of Veterans' Services,Department of Veteran's Services,96.6,Match,REC_000066,OPS_000110,
mayor's immigrant office affairs,mayor's intergovernmental office affairs,96.4,Match,REC_000132,REC_000134,
Mayor's Office of Environmental Remediation (OER),Office of Environmental Remediation,96.4,Match,HOO_000096,OPS_000066,
New York City Employees' Retirement System,NYC Employee Retirement System,96.3,Match,REC_000161,OPS_000408,
film theater broadcasting,film theatre broadcasting,96,Match,REC_660503,REC_182095,
Mayor's Office of Minority and Women-Owned Business Enterprises (MWBE),Mayor's Office of Minority and Women-Owned Business Enterprises,96,Match,HOO_000121,REC_000136,
commission gender equality,commission gender equity,96,Match,REC_498737,OPS_000195,
"Administrative Justice Coordinator, NYC Office of (AJC)",Office of Administrative Justice Coordinator,96,Match,HOO_000001,OPS_000085,
Mayor's Office of Environmental Remediation (OER),Mayor's Office of Environmental Remediation,96,Match,HOO_000096,HOO_000096,
"Housing Preservation and Development, Department of (HPD)",Department of Housing Preservation and Development,96,Match,HOO_000071,REC_000056,
Mayor's Office For International Affairs (IA) ,Mayor's Office for International Affairs,96,Match,HOO_000094,REC_000111,
Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor’s Office to End Domestic and Gender-Based Violence,95.9,Match,HOO_000100,OPS_000023,
Teachers' Retirement System of the City of New York,Teachers' Retirement System of City of New York,95.9,Match,HOO_000168,OPS_000417,
counsel mayor office of chief counsel mayor and city hall,mayor office of chief counsel mayor and city hall,95.9,Match,HOO_000044,HOO_000111,
"Office of Film, Theater & Broadcasting","Office of Film, Theatre, & Broadcasting",95.8,Match,REC_000195,OPS_000114,
committee on city healthcare services,committee city healthcare services,95.8,Match,REC_000038,OPS_000186,
Mayor's Office of Talent and Workforce Development,Mayor’s Office of Talent and Workforce Development,95.7,Match,REC_000147,OPS_000059,
