Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID,Agency Name,Entity type,source,HeadOfOrganizationName,HeadOfOrganizationTitle,PrincipalOfficerContactURL,merged_from,data_source
311,NYC 311,,,,,,,,,311,NYC 311,Active,Division,,https://portal.311.nyc.gov/,Office of Technology and Innovation,Office of Technology and Innovation,?,,,,,,,,,,,,"NYC 311 was integrated into the Office of Technology and Innovation (OTI) in November 2021 through Executive Order No. 3. This integration was part of a larger effort to streamline and enhance the city's technology and innovation services by merging several technology-focused entities, including NYC Cyber Command, the NYC Office of Data Analytics (ODA), the Mayor's Office of the Chief Technology Officer (MOCTO), and the Mayor's Office of Information Privacy (MOIP). While the Department of Information Technology and Telecommunications (DoITT) continues to exist solely for legal contract purposes, its operational functions, including those of NYC 311, have been incorporated into OTI. This reorganization aims to create a unified approach to technology deployment and innovation, improving service efficiency and coordination across NYC government agencies.",2003.0,,nyc-311,2024-07-29,,,NYC 311,NYC 311,,,311,OPS_000083,311,Agency,ops,,,,"[""OPS_000083"", ""REC_000152""]",ops
Accessory Sign Regulation Interagency Task Force,,,,,,,,,,Accessory Sign Regulation Interagency Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accessory sign regulation interagency task force,OPS_000151,Accessory Sign Regulation Interagency Task Force,Board/Commission,ops,,,,,ops
Administration for Children's Services,"Children's Services, Administration for",Administration for Children's Services,Administration for Children's Services,"Children's Services, Administration for","Children's Services, Administration for (ACS)",Administration for Children’s Services (ACS),"Children's Services, Administration for (ACS)","Children's Services, Administration for (ACS)",Administration for Children's Services (ACS),Administration for Children's Services,Administration for Children's Services,Active,Mayoral Agency,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.",http://www.nyc.gov/acs,Mayor's Office,Deputy Mayor for Health and Human Services,New York City Charter,"Chapter 24-B, Section 615",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2173,"There shall be an administration for children's services, the head of which shall be the commissioner of children's services.",,,ACS,,68.0,Jess Dannhauser,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Administration+for+Children%27s+Services+%28ACS%29,,1996.0,,administration-for-childrens-services,2024-07-29,,,Administration for Children's Services (ACS),"Children's Services, Administration for (ACS)",Jess,Dannhauser,administration childrens services,OPS_000084,Administration for Children's Services,Agency,ops,Jess Dannhauser,Commissioner,https://www.nyc.gov/site/acs/about/contact-acs.page,"[""OPS_000084"", ""REC_000029""]",ops
Advisory Board on Implementation of Racial Justice Charter Amendments,,,,,,,,,,Advisory Board on Implementation of Racial Justice Charter Amendments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory board implementation of racial justice charter amendments,OPS_000140,Advisory Board on Implementation of Racial Justice Charter Amendments,Board/Commission,ops,,,,,ops
Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on",,,,"Property Tax Reform, Advisory Commission on",,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",,Advisory Commission on Property Tax Reform,,Active,"Advisory, Oversight, or Regulatory Body","This site is up for historical purposes only. The New York City Advisory Commission on Property Tax Reform worked to evaluate all aspects of the current property tax system in New York City and recommend reforms to make it fairer, simpler, and more transparent, while ensuring that there is no reduction in revenue used to fund City services.",https://www1.nyc.gov/site/propertytaxreform/index.page,,Independent,Mayoral Executive Order,"Executive Order 37, 2018",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6969z449s?locale=en,The Mayor establishes the Advisory Commission on Property Tax Reform. The Commission shall evaluate New York City's current Real Property Tax System.,,,,,,,Chair,,,2018.0,,advisory-commission-on-property-tax-reform,2024-07-29,,,Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on",,,advisory commission property tax reform,OPS_000146,Advisory Commission on Property Tax Reform,Board/Commission,ops,Marc V. Shaw,Chair ,,"[""OPS_000146"", ""REC_000211""]",ops
Advisory Committee on Female Genital Mutilation and Cutting,,,,,,,,,,Advisory Committee on Female Genital Mutilation and Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory committee female genital mutilation and cutting,OPS_000143,Advisory Committee on Female Genital Mutilation and Cutting,Board/Commission,ops,,,,,ops
Advisory Council to the Center for Workplace Accessibility and Inclusion,,,,,,,,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory council center workplace accessibility and inclusion,OPS_000142,Advisory Council to the Center for Workplace Accessibility and Inclusion,Board/Commission,ops,,,,,ops
Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",,,,,,,,,,,Active,"Advisory, Oversight, or Regulatory Body",,,Department for the Aging,Department for the Aging,New York City Charter,"Chapter 66, Section 2403",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5823,There shall be in the department an advisory council consisting of thirty-one members at least sixteen of whom shall be recipients of services rendered to older adults,,,,,,,,,,,,advisory-council-to-the-department-for-the-aging,2024-07-29,,,Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",,,advisory council department aging,REC_000004,,,,,,,,nyc_agencies_export
Advisory Council for the NYC Civil Court Housing Part,,,,,,,,,,Advisory Council for the NYC Civil Court Housing Part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory council new york city civil court housing part,OPS_000144,Advisory Council for the NYC Civil Court Housing Part,Board/Commission,ops,,,,,ops
Advisory Council on Procurement Lobbying,,,,,,,,,,Advisory Council on Procurement Lobbying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory council procurement lobbying,OPS_000145,Advisory Council on Procurement Lobbying,Board/Commission,ops,,,,,ops
