Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,RecordID,data_source
311,,,,,,,,,,311,,OPS_000083,ops
Accessory Sign Regulation Interagency Task Force,,,,,,,,,,Accessory Sign Regulation Interagency Task Force,,OPS_000151,ops
"Actuary, NYC Office of the (NYCOA)",,,,,"Actuary, NYC Office of the (NYCOA)",,,,,,,REC_000000,nyc_agencies_export
Administration for Children's Services,"Children's Services, Administration for",Administration for Children's Services,Administration for Children's Services,"Children's Services, Administration for","Children's Services, Administration for (ACS)",Administration for Children’s Services (ACS),"Children's Services, Administration for (ACS)","Children's Services, Administration for (ACS)",Administration for Children's Services (ACS),Administration for Children's Services,Administration for Children's Services,OPS_000084,ops
Advisory Board on Implementation of Racial Justice Charter Amendments,,,,,,,,,,Advisory Board on Implementation of Racial Justice Charter Amendments,,OPS_000140,ops
Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on",,,,"Property Tax Reform, Advisory Commission on",,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",,Advisory Commission on Property Tax Reform,,OPS_000146,ops
Advisory Committee on Female Genital Mutilation and Cutting,,,,,,,,,,Advisory Committee on Female Genital Mutilation and Cutting,,OPS_000143,ops
Advisory Council to the Center for Workplace Accessibility and Inclusion,,,,,,,,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,,OPS_000142,ops
Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",,,,,,,,,,,REC_000004,nyc_agencies_export
Advisory Council for the NYC Civil Court Housing Part,,,,,,,,,,Advisory Council for the NYC Civil Court Housing Part,,OPS_000144,ops
Advisory Council on Procurement Lobbying,,,,,,,,,,Advisory Council on Procurement Lobbying,,OPS_000145,ops
Age Friendly Commission,,,,,,,,,,Age Friendly Commission,,OPS_000147,ops
Algorithm Advisory Committee,,,,,,,,,,Algorithm Advisory Committee,,OPS_000138,ops
Animal Care Centers of NYC,,,,,,,,,,Animal Care Centers of NYC,,OPS_000141,ops
"Animal Welfare, NYC Mayor's Office of",,,,,"Animal Welfare, NYC Mayor's Office of",,,,,,,REC_000006,nyc_agencies_export
Archival Review Board,Archival Review Board,,,,,,,,,Archival Review Board,,OPS_000149,ops
"Archives, Reference and Research Advisory Board ",,,,,,,,,,"Archives, Reference and Research Advisory Board ",,OPS_000150,ops
Association for a Better New York,Association for a Better New York,,,,,,,,Association for a Better New York (ABNY),,,REC_000009,nyc_agencies_export
Atlantic Yards Community Development Corporation (AYCDC),,,,,,,,,,Atlantic Yards Community Development Corporation (AYCDC),,OPS_000153,ops
Audit Committee,Audit Committee,,,,,,,,,Audit Committee,,OPS_000152,ops
Banking Commission,,,,,,,,,,Banking Commission,,OPS_000155,ops
Black Car and Livery Task Force,,,,,,,,,,Black Car and Livery Task Force,,OPS_000161,ops
