Name,NameAlphabetized,Name - HOO,URL,Description,PrincipalOfficerName,PrincipalOfficerTitle,ParentOrganization,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,Name - Checkbook,Name - Greenbook,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - Ops,Name - WeGov
311,NYC 311,,https://portal.311.nyc.gov/,,,,Office of Technology and Innovation,,,,,,2003.0,,,,,,311,NYC 311
Accessory Sign Regulation Interagency Task Force,,,,,,,,,,,,,,,,,,,Accessory Sign Regulation Interagency Task Force,
Administration for Children's Services,"Children's Services, Administration for","Children's Services, Administration for (ACS)",http://www.nyc.gov/acs,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.",Jess Dannhauser,Commissioner,Mayor's Office,,ACS,,68.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Administration+for+Children%27s+Services+%28ACS%29,1996.0,Administration for Children's Services,"Children's Services, Administration for",Administration for Children’s Services (ACS),"Children's Services, Administration for (ACS)","Children's Services, Administration for (ACS)",Administration for Children's Services,Administration for Children's Services
Advisory Board on Implementation of Racial Justice Charter Amendments,,,,,,,,,,,,,,,,,,,Advisory Board on Implementation of Racial Justice Charter Amendments,
Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",https://www1.nyc.gov/site/propertytaxreform/index.page,"This site is up for historical purposes only. The New York City Advisory Commission on Property Tax Reform worked to evaluate all aspects of the current property tax system in New York City and recommend reforms to make it fairer, simpler, and more transparent, while ensuring that there is no reduction in revenue used to fund City services.",,Chair,,,,,,,2018.0,,,,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",Advisory Commission on Property Tax Reform,
Advisory Committee on Female Genital Mutilation and Cutting,,,,,,,,,,,,,,,,,,,Advisory Committee on Female Genital Mutilation and Cutting,
Advisory Council to the Center for Workplace Accessibility and Inclusion,,,,,,,,,,,,,,,,,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,
Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",,,,,,Department for the Aging,,,,,,,,,,,,,
Advisory Council for the NYC Civil Court Housing Part,,,,,,,,,,,,,,,,,,,Advisory Council for the NYC Civil Court Housing Part,
Advisory Council on Procurement Lobbying,,,,,,,,,,,,,,,,,,,Advisory Council on Procurement Lobbying,
