Name,NameAlphabetized,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,Name - HOO,Name - Ops,NameWithAcronym,NameAlphabetizedWithAcronym,Agency Name,AgencyNameEnriched,LegalName,AlternateNames,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,source,HeadOfOrganizationTitle,RecordID,HeadOfOrganizationName,NameNormalized,Entity type,data_source,merged_from,merge_note,dedup_source
,,,,,,,,,,District Attorney- Bronx County|District Attorney- Richmond County (Staten Island)|District Attorney- New York County (Manhattan),,,,District Attorney- Bronx County|District Attorney- Richmond County (Staten Island)|District Attorney- New York County (Manhattan),District Attorney- Bronx County - District Attorney,,,,,,https://www.bronxda.nyc.gov/html/home/home.shtml,,,,,,,,,,,,,,,,,,,,,,nyc_gov,District Attorney,HOO_000050,Darcel D. Clark,district attorney bronx county district attorney|district attorney richmond county district attorney|district attorney new york county district attorney,Independent,nyc_gov,"[{""id"": ""OPS_000401"", ""name"": NaN, ""score"": 97.1}, {""id"": ""HOO_000053"", ""name"": NaN, ""score"": 83.2}, {""id"": ""HOO_000054"", ""name"": NaN, ""score"": 89.7}, {""id"": ""HOO_000052"", ""name"": NaN, ""score"": 87.3}]","nan
Merged with OPS_000401 (score: 97.1)
Conflicts: data_source: preferred='nyc_gov', secondary='ops'; NameNormalized: preferred='district attorney bronx county district attorney', secondary='district attorney bronx county'; Agency Name: preferred='District Attorney- Bronx County', secondary='District Attorney - Bronx County'; dedup_source: preferred='nyc_gov', secondary='ops'; RecordID: preferred='HOO_000050', secondary='OPS_000401'; source: preferred='nyc_gov', secondary='ops'
Merged with HOO_000053 (score: 83.2)
Conflicts: NameNormalized: preferred='district attorney bronx county district attorney', secondary='district attorney queens county district attorney'; Agency Name: preferred='District Attorney- Bronx County', secondary='District Attorney- Queens County'; URL: preferred='https://www.bronxda.nyc.gov/html/home/home.shtml', secondary='https://queensda.org/'; RecordID: preferred='HOO_000050', secondary='HOO_000053'; AgencyNameEnriched: preferred='District Attorney- Bronx County - District Attorney', secondary='District Attorney- Queens County - District Attorney'; HeadOfOrganizationName: preferred='Darcel D. Clark', secondary='Melinda Katz'
Merged with HOO_000054 (score: 89.7)
Conflicts: Agency Name: preferred='District Attorney- Bronx County|District Attorney- Richmond County (Staten Island)', secondary='District Attorney- Richmond County (Staten Island)'; NameNormalized: preferred='district attorney bronx county district attorney|district attorney richmond county district attorney', secondary='district attorney richmond county district attorney'; RecordID: preferred='HOO_000050', secondary='HOO_000054'; URL: preferred='https://www.bronxda.nyc.gov/html/home/home.shtml', secondary='https://www.statenislandda.org/'; HeadOfOrganizationName: preferred='Darcel D. Clark', secondary='Michael E. McMahon'; AgencyNameEnriched: preferred='District Attorney- Bronx County - District Attorney', secondary='District Attorney- Richmond County (Staten Island) - District Attorney'
Merged with HOO_000052 (score: 87.3)
Conflicts: Agency Name: preferred='District Attorney- Bronx County|District Attorney- Richmond County (Staten Island)|District Attorney- New York County (Manhattan)', secondary='District Attorney- New York County (Manhattan)'; NameNormalized: preferred='district attorney bronx county district attorney|district attorney richmond county district attorney|district attorney new york county district attorney', secondary='district attorney new york county district attorney'; RecordID: preferred='HOO_000050', secondary='HOO_000052'; URL: preferred='https://www.bronxda.nyc.gov/html/home/home.shtml', secondary='https://manhattanda.org/'; HeadOfOrganizationName: preferred='Darcel D. Clark', secondary='Alvin Bragg'; AgencyNameEnriched: preferred='District Attorney- Bronx County - District Attorney', secondary='District Attorney- New York County (Manhattan) - District Attorney'",nyc_gov
,,,,,,,,,,"Judiciary, Mayors Advisory Committee on the (MACJ) ",,,,"Judiciary, Mayors Advisory Committee on the (MACJ) ","Judiciary, Mayors Advisory Committee on the (MACJ)  - Executive Director ",,,,,,Advisory Committee on the Judiciary (nyc.gov),,,,,,,,,,,,,,,,,,,,,,nyc_gov,Executive Director ,HOO_000081,Ayanna Sorett,judiciary mayors advisory committee executive director,,nyc_gov,,,nyc_gov
,,,,,,,,,,Mayor's Office for Economic Opportunity,,,,Mayor's Office for Economic Opportunity,Mayor's Office for Economic Opportunity - Deputy Executive Director,,,,,,https://www.nyc.gov/site/opportunity/index.page,,,,,,,,,,,,,,,,,,,,,,nyc_gov,Deputy Executive Director,HOO_000093,Carson Hicks ,mayors office economic opportunity deputy executive director,,nyc_gov,,,nyc_gov
,,,,,,,,,,"Mayor, Office of the",,,,"Mayor, Office of the","Mayor, Office of the - Deputy Mayor for Operations",,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,nyc_gov,Deputy Mayor for Operations,HOO_000103,Meera Joshi,mayor office of deputy mayor operations,,nyc_gov,,,nyc_gov
,,,,,,,,,,"Mayor, Office of the",,,,"Mayor, Office of the","Mayor, Office of the - Chief Advisor to the Mayor",,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,nyc_gov,Chief Advisor to the Mayor,HOO_000109,Ingrid Lewis-Martin ,mayor office of chief advisor mayor|mayor office of senior advisor mayor,,nyc_gov,"[{""id"": ""HOO_000114"", ""name"": NaN, ""score"": 85.0}]","nan
Merged with HOO_000114 (score: 85.0)
Conflicts: NameNormalized: preferred='mayor office of chief advisor mayor|mayor office of senior advisor mayor', secondary='mayor office of senior advisor mayor'; HeadOfOrganizationTitle: preferred='Chief Advisor to the Mayor', secondary='Senior Advisor to the Mayor'; RecordID: preferred='HOO_000109', secondary='HOO_000114'; HeadOfOrganizationName: preferred='Ingrid Lewis-Martin ', secondary='Stefan Ringel'; AgencyNameEnriched: preferred='Mayor, Office of the - Chief Advisor to the Mayor', secondary='Mayor, Office of the - Senior Advisor to the Mayor'",nyc_gov
,,,,,,,,,,"Mayor, Office of the",,,,"Mayor, Office of the","Mayor, Office of the - Chief Efficiency Officer",,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,nyc_gov,Chief Efficiency Officer,HOO_000112,Denise C. Clay,mayor office of chief efficiency officer,,nyc_gov,,,nyc_gov
,,,,,,,,,,"Mayor, Office of the",,,,"Mayor, Office of the","Mayor, Office of the - Senior Advisor for External Affairs ",,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,nyc_gov,Senior Advisor for External Affairs ,HOO_000115,Tiffany Raspberry,mayor office of senior advisor external affairs,,nyc_gov,,,nyc_gov
,,,,,,,,,,"Mayor, Office of the",,,,"Mayor, Office of the","Mayor, Office of the - Senior Advisor and Director of Public Service Engagement",,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,nyc_gov,Senior Advisor and Director of Public Service Engagement,HOO_000116,Andrea Shapiro Davis,mayor office of senior advisor and director of public service engagement,,nyc_gov,,,nyc_gov
,,,,,,,,,,NYC Emergency Management,,,,NYC Emergency Management,NYC Emergency Management - Commissioner,,,,,,https://www.nyc.gov/site/em/index.page,,,,,,,,,,,,,,,,,,,,,,nyc_gov,Commissioner,HOO_000126,Zachary Iscol,new york city emergency management commissioner,,nyc_gov,,,nyc_gov
,,,,,,,,,,NYC Service ,,,,NYC Service ,NYC Service  - NYC Chief Service Officer ,,,,,,https://www.nycservice.org/,,,,,,,,,,,,,,,,,,,,,,nyc_gov,NYC Chief Service Officer ,HOO_000129,Laura Rog,new york city service new york city chief service officer,Mayoral unit/office,nyc_gov,"[{""id"": ""OPS_000077"", ""name"": NaN, ""score"": 100.0}]","nan
Merged with OPS_000077 (score: 100.0)
Conflicts: data_source: preferred='nyc_gov', secondary='ops'; NameNormalized: preferred='new york city service new york city chief service officer', secondary='new york city service'; Agency Name: preferred='NYC Service ', secondary='NYC Service'; dedup_source: preferred='nyc_gov', secondary='ops'; RecordID: preferred='HOO_000129', secondary='OPS_000077'; source: preferred='nyc_gov', secondary='ops'",nyc_gov
