Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,Agency Name,source,HeadOfOrganizationTitle,RecordID,HeadOfOrganizationName,NameNormalized,AgencyNameEnriched,Entity type,data_source,merged_from,merge_note,dedup_source
,,,,,https://www.bronxda.nyc.gov/html/home/home.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Attorney- Bronx County|District Attorney- Richmond County (Staten Island)|District Attorney- New York County (Manhattan),nyc_gov,District Attorney,HOO_000050,Darcel D. Clark,district attorney bronx county district attorney|district attorney richmond county district attorney|district attorney new york county district attorney,District Attorney- Bronx County - District Attorney,Independent,nyc_gov,"[{""id"": ""OPS_000401"", ""name"": NaN, ""score"": 97.1}, {""id"": ""HOO_000053"", ""name"": NaN, ""score"": 83.2}, {""id"": ""HOO_000054"", ""name"": NaN, ""score"": 89.7}, {""id"": ""HOO_000052"", ""name"": NaN, ""score"": 87.3}]","nan
Merged with OPS_000401 (score: 97.1)
Conflicts: data_source: preferred='nyc_gov', secondary='ops'; NameNormalized: preferred='district attorney bronx county district attorney', secondary='district attorney bronx county'; Agency Name: preferred='District Attorney- Bronx County', secondary='District Attorney - Bronx County'; dedup_source: preferred='nyc_gov', secondary='ops'; RecordID: preferred='HOO_000050', secondary='OPS_000401'; source: preferred='nyc_gov', secondary='ops'
Merged with HOO_000053 (score: 83.2)
Conflicts: NameNormalized: preferred='district attorney bronx county district attorney', secondary='district attorney queens county district attorney'; Agency Name: preferred='District Attorney- Bronx County', secondary='District Attorney- Queens County'; URL: preferred='https://www.bronxda.nyc.gov/html/home/home.shtml', secondary='https://queensda.org/'; RecordID: preferred='HOO_000050', secondary='HOO_000053'; AgencyNameEnriched: preferred='District Attorney- Bronx County - District Attorney', secondary='District Attorney- Queens County - District Attorney'; HeadOfOrganizationName: preferred='Darcel D. Clark', secondary='Melinda Katz'
Merged with HOO_000054 (score: 89.7)
Conflicts: Agency Name: preferred='District Attorney- Bronx County|District Attorney- Richmond County (Staten Island)', secondary='District Attorney- Richmond County (Staten Island)'; NameNormalized: preferred='district attorney bronx county district attorney|district attorney richmond county district attorney', secondary='district attorney richmond county district attorney'; RecordID: preferred='HOO_000050', secondary='HOO_000054'; URL: preferred='https://www.bronxda.nyc.gov/html/home/home.shtml', secondary='https://www.statenislandda.org/'; HeadOfOrganizationName: preferred='Darcel D. Clark', secondary='Michael E. McMahon'; AgencyNameEnriched: preferred='District Attorney- Bronx County - District Attorney', secondary='District Attorney- Richmond County (Staten Island) - District Attorney'
Merged with HOO_000052 (score: 87.3)
Conflicts: Agency Name: preferred='District Attorney- Bronx County|District Attorney- Richmond County (Staten Island)|District Attorney- New York County (Manhattan)', secondary='District Attorney- New York County (Manhattan)'; NameNormalized: preferred='district attorney bronx county district attorney|district attorney richmond county district attorney|district attorney new york county district attorney', secondary='district attorney new york county district attorney'; RecordID: preferred='HOO_000050', secondary='HOO_000052'; URL: preferred='https://www.bronxda.nyc.gov/html/home/home.shtml', secondary='https://manhattanda.org/'; HeadOfOrganizationName: preferred='Darcel D. Clark', secondary='Alvin Bragg'; AgencyNameEnriched: preferred='District Attorney- Bronx County - District Attorney', secondary='District Attorney- New York County (Manhattan) - District Attorney'",nyc_gov
,,,,,https://www.nyc.gov/site/recovery/index.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing Recovery Operations (HRO),nyc_gov,Executive Director ,HOO_000072,Rudy S. Giuliani,housing recovery operations executive director,Housing Recovery Operations (HRO) - Executive Director ,,nyc_gov,,,nyc_gov
,,,,,Advisory Committee on the Judiciary (nyc.gov),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Judiciary, Mayors Advisory Committee on the (MACJ) ",nyc_gov,Executive Director ,HOO_000081,Ayanna Sorett,judiciary mayors advisory committee executive director,"Judiciary, Mayors Advisory Committee on the (MACJ)  - Executive Director ",,nyc_gov,,,nyc_gov
,,,,,https://www.nyc.gov/site/opportunity/index.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayor's Office for Economic Opportunity,nyc_gov,Deputy Executive Director,HOO_000093,Carson Hicks ,mayors office economic opportunity deputy executive director,Mayor's Office for Economic Opportunity - Deputy Executive Director,,nyc_gov,,,nyc_gov
,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor, Office of the",nyc_gov,Deputy Mayor for Operations,HOO_000103,Meera Joshi,mayor office of deputy mayor operations,"Mayor, Office of the - Deputy Mayor for Operations",,nyc_gov,,,nyc_gov
,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor, Office of the",nyc_gov,Chief Advisor to the Mayor,HOO_000109,Ingrid Lewis-Martin ,mayor office of chief advisor mayor|mayor office of senior advisor mayor,"Mayor, Office of the - Chief Advisor to the Mayor",,nyc_gov,"[{""id"": ""HOO_000114"", ""name"": NaN, ""score"": 85.0}]","nan
Merged with HOO_000114 (score: 85.0)
Conflicts: NameNormalized: preferred='mayor office of chief advisor mayor|mayor office of senior advisor mayor', secondary='mayor office of senior advisor mayor'; HeadOfOrganizationTitle: preferred='Chief Advisor to the Mayor', secondary='Senior Advisor to the Mayor'; RecordID: preferred='HOO_000109', secondary='HOO_000114'; HeadOfOrganizationName: preferred='Ingrid Lewis-Martin ', secondary='Stefan Ringel'; AgencyNameEnriched: preferred='Mayor, Office of the - Chief Advisor to the Mayor', secondary='Mayor, Office of the - Senior Advisor to the Mayor'",nyc_gov
,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor, Office of the",nyc_gov,Chief Efficiency Officer,HOO_000112,Denise C. Clay,mayor office of chief efficiency officer,"Mayor, Office of the - Chief Efficiency Officer",,nyc_gov,,,nyc_gov
,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor, Office of the",nyc_gov,Senior Advisor for External Affairs ,HOO_000115,Tiffany Raspberry,mayor office of senior advisor external affairs,"Mayor, Office of the - Senior Advisor for External Affairs ",,nyc_gov,,,nyc_gov
,,,,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor, Office of the",nyc_gov,Senior Advisor and Director of Public Service Engagement,HOO_000116,Andrea Shapiro Davis,mayor office of senior advisor and director of public service engagement,"Mayor, Office of the - Senior Advisor and Director of Public Service Engagement",,nyc_gov,,,nyc_gov
,,,,,https://www.nyc.gov/site/em/index.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC Emergency Management,nyc_gov,Commissioner,HOO_000126,Zachary Iscol,new york city emergency management commissioner,NYC Emergency Management - Commissioner,,nyc_gov,,,nyc_gov
