Name,Agency Code,Parent Organization,Child Organization(s),Acronym,Agency Type,Website
Administration for Children's Services (ACS),068,,,ACS,City Department,https://www.nyc.gov/site/acs/index.page
Association for a Better New York (ABNY),,,,ABNY,Other,abny.org
Board of Correction (BOC),073,,,BOC,Other,https://www.nyc.gov/site/boc/index.page
Board of Education Retirement System (BERS),,,,BERS,Other,https://www.bers.nyc.gov/
Board of Elections (BOE),003,,,BOE,Other,vote.nyc
Board of Standards and Appeals (BSA),,,,BSA,City Department,https://www.nyc.gov/site/bsa/index.page
Broadway Theater,,,,Broadway Theater,Other,broadway.com
Bronx Borough President (BXBP),011,,,BXBP,Other,https://bronxboropres.nyc.gov/
Bronx County District Attorney (BXDA),902,,,BXDA,Other,https://www.bronxda.nyc.gov/html/home/home.shtml
Brooklyn Borough President (BKBP),012,,,BKBP,Other,https://www.brooklynbp.nyc.gov/
Brooklyn Navy Yard Development Corporation (BNYDC),,,,BNYDC,Other,https://brooklynnavyyard.org/
Brooklyn Public Library (BPL),038,,,BPL,Other,https://www.bklynlibrary.org/
Business Integrity Commission (BIC),829,,,BIC,Other,https://www.nyc.gov/site/bic/index.page
Campaign Finance Board (CFB),004,,,CFB,Other,https://nyccfb.info/about
Center for Innovation through Data Intelligence (CIDI) ,,,,CIDI,Other,https://www.nyc.gov/site/cidi/index.page
Charter Revision Commission (CRC),,,,CRC,Other,https://www.nyc.gov/site/charter/index.page
Children's Cabinet,,,,Children's Cabinet,Mayor's Office,https://www.nyc.gov/site/childrenscabinet/index.page
City Commission on Human Rights (CCHR),226,,,CCHR,City Department,https://www.nyc.gov/site/cchr/index.page
City Council (NYCC),102,,,NYCC,City Department,https://council.nyc.gov/
City University of New York (CUNY),042,,,CUNY,Other,cuny.edu
Civic Engagement Commission (CEC),,Mayor's Office of Engagement,,CEC,Other,https://www.nyc.gov/site/civicengagement/index.page
Civil Service Commission (CSC),134,,,CSC,Other,https://www.nyc.gov/site/csc/index.page
Civilian Complaint Review Board (CCRB),054,,,CCRB,Other,https://www.nyc.gov/site/ccrb/index.page
Commission on Gender Equity (CGE),,Mayor's Office of Equity (MOE),,CGE,Other,https://www.nyc.gov/site/genderequity/index.page
Commission to Combat Police Corruption (CCPC),,,,CCPC,Other,https://www.nyc.gov/site/ccpc/index.page
Conflicts of Interest Board (COIB),312,,,COIB,Other,https://www.nyc.gov/site/coib/index.page
Department for the Aging (DFTA),125,,,DFTA,City Department,https://www.nyc.gov/site/dfta/index.page
Department of Buildings (DOB),810,,,DOB,City Department,https://www.nyc.gov/site/buildings/index.page
Department of City Planning (DCP),030,,,DCP,City Department,https://www.nyc.gov/site/planning/index.page
Department of Citywide Administrative Services (DCAS),856,,,DCAS,City Department,https://www.nyc.gov/site/dcas/index.page
Department of Consumer and Worker Protection (DCWP),866,,,DCWP,City Department,https://www.nyc.gov/site/dca/index.page
Department of Correction (DOC),072,,,DOC,City Department,https://www.nyc.gov/site/doc/index.page
Department of Cultural Affairs (DCLA),126,,,DCLA,City Department,https://www.nyc.gov/site/dcla/index.page
Department of Design and Construction (DDC),850,,,DDC,City Department,https://www.nyc.gov/site/ddc/about/about-ddc.page
Department of Education (DOE),040,,,DOE,City Department,https://www.schools.nyc.gov/
Department of Environmental Protection (DEP),826,,,DEP,City Department,https://www.nyc.gov/site/dep/index.page
Department of Finance (DOF),836,,"NYC Sheriff (SHERIFF),Mayor's Office of Pensions & Investments",DOF,City Department,https://www.nyc.gov/site/finance/index.page
Department of Health and Mental Hygiene (DOHMH),816,,,DOHMH,City Department,https://www.nyc.gov/site/doh/about/about-doh.page
Department of Homeless Services (DHS),071,Department of Social Services (DSS),,DHS,City Department,https://www.nyc.gov/site/dhs/index.page
Department of Housing Preservation and Development (HPD),806,,,HPD,City Department,https://www.nyc.gov/site/hpd/index.page
Department of Investigation (DOI),032,,,DOI,City Department,https://www.nyc.gov/site/doi/index.page
Department of Parks and Recreation (PARKS),846,,,PARKS,City Department,https://www.nycgovparks.org/
Department of Probation (DOP),781,,,DOP,City Department,https://www.nyc.gov/site/probation/index.page
Department of Records and Information Services (DORIS),860,,,DORIS,City Department,https://www.nyc.gov/site/records/index.page
Department of Sanitation (DSNY),827,,,DSNY,City Department,https://www.nyc.gov/assets/dsny/site/home
Department of Small Business Services (SBS),801,,,SBS,City Department,https://www.nyc.gov/site/sbs/index.page
Department of Social Services (DSS),069,,"Human Resources Administration (HRA),Department of Homeless Services (DHS)",DSS,City Department,https://www.nyc.gov/site/dss/index.page
