name,type
NYS Department of Taxation,State Agency
NYS Department of Taxation & Finance,State Agency
NYS Financial Control Board,State Agency
NYS Tax Appeals Tribunal,State Agency
NYC Municipal Water Finance Authority,City Agency
NYC Technology Development Corporation,City Agency
Office of Administrative Tax Appeals,City Agency
Transitional Finance Authority,City Agency
Brooklyn Bridge Park Corporation,Nonprofit
Brooklyn Navy Yard Development Corporation,Nonprofit
Empire State Development Corporation,Economic Development Organization
United Nations Development Corporation,Nonprofit
Department of Civil Service,State Agency
Department of Labor,State Agency
Deputy Chief Administrative Judge for the New York City Courts,State Agency
Division of the Budget,State Agency
Governor's Office,State Agency
Lieutenant Governor,State Agency
NYS Board of Elections,State Agency
NYS Department of Labor,State Agency
NYS Governor's Office of Employee Relations,State Agency
NYS Office of the Comptroller,State Agency
Public Employment Relations Board,State Agency
Citywide Pension Contributions,City Fund
Mayor's Office,Elected Office
Teachers' Retirement System,City Agency
Fire Department Pension Fund & Related Funds,City Agency
U.S. Court of International Trade,Federal Agency
"Office of Parks, Recreation & Historic Preservation",State Agency
State University Construction Fund,State Agency
Special Commissioner of Investigation for the NYC School District,City Agency
NYS Education Department,State Agency
NYS Higher Education Services Corporation,State Agency
Board of Education Retirement System,City Agency
Educational Construction Fund,City Agency
Interstate Environmental Commission,Regional Entity
City Planning Commission,City Agency
NYS Department of Health,State Agency
Office of Mental Health,State Agency
Public Administrator,State Agency
Public Administrator - Bronx,State Agency
NYS Homes & Community Renewal,State Agency
Housing Development Corporation,City Agency
Division of Criminal Justice Services,State Agency
Division of Homeland Security & Emergency Services,State Agency
Division of State Police,State Agency
NYS Office of Children & Family Services,State Agency
Office of the NYS Inspector General,State Agency
Office of Prosecutor & Special Narcotics,City Agency
New York City Fire Museum,Nonprofit
NYS Justice Center for the Protection of People with Special Needs,State Agency
NYS Joint Commission on Public Ethics,State Agency
NYS Board of Law Examiners,State Agency
District Attorneys,Classification
New York City Surrogate's Court - Bronx County,State Agency
New York City Surrogate's Court - New York County,State Agency
New York City Surrogate's Court - Queens County,State Agency
Office of Attorney General,State Agency
NYS Office for the Aging,State Agency
Office for People with Developmental Disabilities,State Agency
NYS Division of Human Rights,State Agency
Lower Manhattan Development Corporation,Economic Development Organization
New York City Surrogate's Court - Kings County,State Agency
New York City Surrogate's Court - Richmond County,State Agency
District Attorney - Queens,Elected Office
Metropolitan Transportation Authority,State Agency
NYS Department of Transportation,State Agency
 Assistance Office of Temporary & Disability,State Agency
Battery Park City Authority,State Agency
Commission of Correction,State Agency
Council on the Arts,State Agency
County Clerk,State Agency
Department of Agriculture & Markets,State Agency
Department of Motor Vehicles,State Agency
Department of State,State Agency
Division of Alcoholic Beverage Control (State Liquor Authority),State Agency
Dormitory Authority State of New York,State Agency
Family Court of the State of New York - City of New York,State Agency
Legislative Bill Drafting Commission,State Agency
Legislature of the State of NY,State Agency
New York City Courts,State Agency
New York Liquidation Bureau,State Agency
New York Power Authority,State Agency
New York State Court of Appeals,State Agency
New York State Supreme Court - Eleventh Judicial District (Queens County),State Agency
New York State Supreme Court - First Judicial District (New York County),State Agency
New York State Supreme Court - Second Judicial District (Kings County),State Agency
New York State Supreme Court - Thirteenth Judicial District (Richmond County),State Agency
