Agency Acronym,Agency Name,Entity type,MMR chapter,Rulemaking Entity,Agency Head First Name,Agency Head Last Name,Agency Contacts,Reports to Deputy Mayor/Executive,Executive Name (from Deputy Mayor/Executive),BC Description,Board/Commission Qualification,BC Source of Authority,Legal Source Link,Agency/Board Website,BC Type,COS Note,Legal Source,Executive Structure,Executive Structure Detail,Mayoral Agency?,Advisory Board?,Legal Source Notes,Charter and Statute,Rules and Regs,Year created,Sources Available (from MO101) copy 2,Core Mission
CA,Chief Advisor to the Mayor,Executive,,,,,"""Karen Cox (Executive Assistant,  CA)"",""Tanaisha  Ramos (Chief of Staff,  CA)""",Mayor,Eric Adams,,,,,,,,,,,,,,,,,,
COS,Mayor's Chief of Staff,Executive,,,Camille,Varlack,"""Camille Varlack (Mayor's Chief of Staff,  COS)"",""Hasibe Rashid (Special Assistant,  COS)"",""Ana Rodriguez (Special Assistant,  COS)"",""Katie Maro (First Chief of Staff to Mayor's Chief of Staff,  COS)"",""Sarah Gastelum (Deputy Chief of Staff,  COS)"",""Crystal Price (Deputy Chief of Staff,  COS)""",Mayor's Chief of Staff,Camille Joseph-Varlack,,,,,,,,EO 5 2022,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
COUNSEL,Counsel to the Mayor,Executive,,,Allison,Stoddart,"""Allison Stoddart (Chief Counsel,  COUNSEL)"",""Carmen Batista (Scheduler,  COUNSEL)"",""Alicia Berenyi (Chief of Staff,  COUNSEL)""",Chief Counsel to the Mayor,Allison Stoddart,,,,,https://www1.nyc.gov/site/counseltothemayor/index.page,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,Have not been able to find in the charter. The website is very vague. ,,,,,"'- The Counsel to the Mayor advises the Mayor on legal matters involving City Hall and the executive staff, as well as provide counsel to the Mayor on legal aspects of policy and administrative matters.
- Counsel’s team is also responsible for developing and advancing policy proposals by coordinating efforts across multiple mayoral offices and agencies.
- The Counsel to the Mayor also serves as the Mayor’s liaison to the Conflict of Interest Board (COIB), the Mayor’s Judiciary Committee, and General Counsel at City agencies.
- The Counsel’s team also oversees the Civilian Complaint Review Board (CCRB), Office of Administrative Trials and Hearings (OATH), and the Mayor’s Office of Information Privacy (MOIP).
- The Counsel’s team also currently staffs the agency’s Equal Employment Opportunity office and leads annual trainings on ethics and FOIL for all agency staff. And handles FOIL requests for the agency."
DM HEWD,Deputy Mayor of Housing Economic & Workforce Development,Executive,,,,,,First Deputy Mayor,Maria Torres-Springer,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-20,,,,"Charter Chapter 1, Section 7","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
DM HHS,Deputy Mayor of Health & Human Services,Executive,,,Anne,Williams-Isom,"""Anne Williams-Isom (Deputy Mayor,  DM HHS)"",""Angela Morel (Scheduler,  DM HHS)"",""Liz Lauros (Chief of Staff,  DM HHS)""",First Deputy Mayor,Maria Torres-Springer,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-20,,,,"Charter Chapter 1, Section 7","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
DM OPS,Deputy Mayor of Operations,Executive,,,Meera,Joshi,"""Meera Joshi (Deputy Mayor,  DM OPS)"",""Rosita Valle (Executive Assistant,  DM OPS)"",""Bonny Tsang (Chief of Staff,  DM OPS)""",First Deputy Mayor,Maria Torres-Springer,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-20,,,,"Charter Chapter 1, Section 7","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
DM PS,Deputy Mayor of Public Safety,Executive,,,Chauncey,Parker,"""Chauncey Parker (Deputy Mayor,  DM PS)"",""Mona Suarez (Assistant Deputy Mayor,  DM PS)"",""Alex Tully (Chief Strategy Officer,  DM PS)""",Mayor,Eric Adams,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-20,,,,"Charter Chapter 1, Section 7","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
DM SI,Deputy Mayor of Strategic Initiatives,Executive,,,Ana,Almanzar,"""Ana Almanzar (Deputy Mayor,  DM SI)"",""Jason Parker (Chief of Staff,  DM SI)""",First Deputy Mayor,Maria Torres-Springer,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-20,,,,"Charter Chapter 1, Section 7","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
FDM,First Deputy Mayor,Executive,,,Maria,Torres-Springer,"""Meagan Chen (Deputy Chief of Staff,  FDM)"",""Darlene Garcia (Special Assistant,  FDM)"",""Reggie Thomas (Chief of Staff,  FDM)"",""Maria Torres-Springer (First Deputy Mayor,  FDM)"",""Fern Burke (Scheduler,  FDM)"",""Nate Bliss (Chief of Staff,  FDM)""",First Deputy Mayor,Maria Torres-Springer,,,,https://www1.nyc.gov/assets/home/downloads/pdf/executive-orders/2022/eo-5.pdf?msclkid=e94dc5ccbc1211eca5604c2ae0e5c1f1,,,,EO 5 2022,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
MAYOR,Mayor's Office,Executive,,checked,Gladys,Miranda,"""Gladys Miranda (Director of Scheduling,  MAYOR)""",Mayor's Chief of Staff,Camille Joseph-Varlack,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-9,https://www1.nyc.gov/office-of-the-mayor/index.page,,,Charter Chapter 1,"""Single Agency Head (commissioner, exec director, administrator)""",The mayor is the chief executive officer of the city.,Yes,No,,,,,,
