Name,OperationalStatus_Confirmed,PreliminaryOrganizationType,NameAlphabetized_Confirmed
311,Active,Division,NYC 311
Accessory Sign Regulation Interagency Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Accessory Sign Regulation Interagency Task Force
Administration for Children's Services,Active,Mayoral Agency,"Children's Services, Administration for"
Advisory Board on Implementation of Racial Justice Charter Amendments,Active,"Advisory, Oversight, or Regulatory Body","Implementation of Racial Justice Charter Amendments, Advisory Board on"
Advisory Commission on Property Tax Reform,Dissolved,"Advisory, Oversight, or Regulatory Body","Property Tax Reform, Advisory Commission on"
Advisory Committee on Female Genital Mutilation and Cutting,Active,"Advisory, Oversight, or Regulatory Body","Female Genital Mutilation and Cutting, Advisory Committee on"
Advisory Council for the NYC Civil Court Housing Part,Active,"Advisory, Oversight, or Regulatory Body","NYC Civil Court Housing Part, Advisory Council for"
Advisory Council on Procurement Lobbying,Active,"Advisory, Oversight, or Regulatory Body","Procurement Lobbying, Advisory Council on"
Advisory Council to the Center for Workplace Accessibility and Inclusion,Active,"Advisory, Oversight, or Regulatory Body","Center for Workplace Accessibility and Inclusion, Advisory Council to"
Advisory Council to the Department for the Aging,Active,"Advisory, Oversight, or Regulatory Body","Aging, Advisory Council to the Department for the"
Age Friendly Commission,Active,"Advisory, Oversight, or Regulatory Body",Age Friendly Commission
Algorithm Advisory Committee,Dissolved,"Advisory, Oversight, or Regulatory Body",Algorithm Advisory Committee
Animal Care Centers of NYC,Active,Non-Governmental Organization,Animal Care Centers of NYC
Archival Review Board,Active,Division,Archival Review Board
"Archives, Reference and Research Advisory Board ",Active,"Advisory, Oversight, or Regulatory Body","Archives, Reference and Research Advisory Board "
Association for a Better New York,Active,Non-Governmental Organization,Association for a Better New York
Atlantic Yards Community Development Corporation,Active,Authority or Public Benefit Corporation,Atlantic Yards Community Development Corporation
Audit Committee,Active,"Advisory, Oversight, or Regulatory Body",Audit Committee
Banking Commission,Active,"Advisory, Oversight, or Regulatory Body",Banking Commission
Black Car and Livery Task Force,Active,"Advisory, Oversight, or Regulatory Body","Black Car and Livery, Task Force"
Board of Collective Bargaining ,Active,"Advisory, Oversight, or Regulatory Body","Collective Bargaining, Board of"
Board of Correction,Active,"Advisory, Oversight, or Regulatory Body","Correction, Board of"
Board of Education Retirement System,Active,"Advisory, Oversight, or Regulatory Body","Education Retirement System, Board of"
Board of Elections,Active,Non-Mayoral Agency,"Elections, Board of"
Board of Health,Active,"Advisory, Oversight, or Regulatory Body","Health, Board of"
Board of Standards and Appeals,Active,"Advisory, Oversight, or Regulatory Body","Standards and Appeals, Board of"
Borough Boards,Active,"Advisory, Oversight, or Regulatory Body",Borough Boards
Borough Historians,Active,"Advisory, Oversight, or Regulatory Body",Borough Historians
Borough Historical Societies,Active,Non-Governmental Organization,Borough Historical Societies
Borough President - Bronx,Active,Elected Office,Borough President - Bronx
Borough President - Brooklyn,Active,Elected Office,Borough President - Brooklyn
Borough President - Manhattan,Active,Elected Office,Borough President - Manhattan
Borough President - Queens,Active,Elected Office,Borough President - Queens
Borough President - Staten Island,Active,Elected Office,Borough President - Staten Island
Brooklyn Bridge Park Corporation,Active,Authority or Public Benefit Corporation,Brooklyn Bridge Park Corporation
Brooklyn Bridge Park Development Corporation,Dissolved,Authority or Public Benefit Corporation,Brooklyn Bridge Park Development Corporation
Brooklyn Marine Terminal Task Force,Active,"Advisory, Oversight, or Regulatory Body",Brooklyn Marine Terminal Task Force
Brooklyn Navy Yard Development Corporation,Active,Authority or Public Benefit Corporation,Brooklyn Navy Yard Development Corporation
Brooklyn Public Library,Active,Non-Governmental Organization,Brooklyn Public Library
BuildNYC,Active,Division,BuildNYC
Business Integrity Commission,Active,"Advisory, Oversight, or Regulatory Body",Business Integrity Commission
Cabinet for Older New Yorkers,Active,"Advisory, Oversight, or Regulatory Body",Cabinet for Older New Yorkers
Campaign Finance Board,Active,"Advisory, Oversight, or Regulatory Body",Campaign Finance Board
Cannabis Advisory Council,Active,"Advisory, Oversight, or Regulatory Body",Cannabis Advisory Council
Caribbean Advisory Council,Active,"Advisory, Oversight, or Regulatory Body",Caribbean Advisory Council
Catskill Watershed Corporation ,Active,Authority or Public Benefit Corporation,Catskill Watershed Corporation 
Center for Brooklyn History,Active,Non-Governmental Organization,"Brooklyn History, Center for"
Center for Innovation through Data Intelligence,Active,Mayoral Office,Center for Innovation through Data Intelligence
Central Park Conservancy,Active,Non-Governmental Organization,Central Park Conservancy
Chancellor,Active,Mayoral Agency,Chancellor
Charter Revision Commission,Active,"Advisory, Oversight, or Regulatory Body",Charter Revision Commission
Chief Advisor to the Mayor,Active,Mayoral Office,"Mayor, Chief Advisor to the"
Chief Climate Officer,Active,Mayoral Office,Chief Climate Officer
Chief Counsel to the Mayor and City Hall,Active,Mayoral Office,"Chief Counsel to the Mayor and City Hall, Office of the"
Chief Efficiency Officer,Active,Mayoral Office,"Efficiency, Mayor's Office of"
Chief Housing Officer,Reorganized,Mayoral Office,Chief Housing Officer
Chief Technology Officer,Active,Mayoral Office,Chief Technology Officer
Child Care Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Child Care Advisory Board
Child Care Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Child Care Task Force
Child Fatality Review Advisory Team,Active,Authority or Public Benefit Corporation,Child Fatality Review Advisory Team
CIG - American Museum of Natural History,Active,Non-Governmental Organization,CIG - American Museum of Natural History
CIG - Bronx County Historical Society,Active,Non-Governmental Organization,CIG - Bronx County Historical Society
