FieldName,Definition,DataType,ExampleValues
Name,"The official, preferred name for the government administrative organization as established by this authoritative dataset.",object,Administration for Children's Services; Advisory Council to the Department for the Aging; Archival Review Board
NameAlphabetized,"The alphabetizied version of the official, preferred name for the government administrative organization as established by this authoritative dataset.",object,"Children's Services, Administration for; Aging, Advisory Council to the Department for the; Archival Review Board"
OperationalStatus,"The current operational state of the organization (e.g., Active, Disbanded, Renamed, Reorganized, Out of Scope)",object,Active; Reorganized
PreliminaryOrganizationType,"The preliminary (not confirmed) designation of the specific type of administrative organization (e.g., Elected Office; Mayoral Agency; Non-Mayoral Agency; Division; Mayoral Office; Advisory, Oversight, or Regulatory Body; Authority or Public Benefit Corporation; Non-Governmental Organization)",object,"Mayoral Agency; Advisory, Oversight, or Regulatory Body; Division"
Description,A brief overview of the organization's purpose and functions.,object,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.; The NYC Board of Correction establishes and ensures compliance with minimum standards regulating conditions of confinement and correctional health and mental health care in all City correctional facilities. The Board monitors conditions in the City's jails, investigates serious incidents, evaluates the performance of the Department of Correction, reviews inmate and employee grievances, and makes recommendations in critical areas of correctional planning.; The New York City Board of Education Retirement System (BERS) was founded on August 31, 1921, and is one of the five public pension funds of New York City. The benefits that BERS provides include service retirement benefits, disability retirement benefits, death benefits, and a Tax-Deferred Annuity (TDA) program. BERS is one of the largest multi-employer, multi-tiered retirement systems in the United States. Our members are employed in such agencies as the Department of Education, the School Construction Authority, and the Police Department."
URL,The official website address of the organization.,object,http://www.nyc.gov/acs; https://abny.org/; http://www.nyc.gov/boc
ParentOrganization,The name of the overarching organization that this organization reports to or is a part of.,object,Mayor's Office; Department for the Aging; Department of Records and Information Systems
NYCReportingLine,The entity that this organization reports to.,object,Deputy Mayor for Health and Human Services; Department for the Aging; Department of Records and Information Systems
AuthorizingAuthority,The legal or governmental body or instrument that established or authorizes the organization.,object,New York City Charter; New York State Law; MOU
LegalCitation,"The specific section in the NYC Charter, NYC Administrative Code, NYC Rules, NYS Law, or Executive Order that established the organization.",object,"Chapter 24-B, Section 615; Chapter 66, Section 2403; Chapter 72, Section 3005"
LegalCitationURL,The web address where the legal citation can be found.,object,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2173; https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5823; https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6585
LegalCitationText,The exact text from the legal document that establishes or authorizes the organization.,object,"There shall be an administration for children's services, the head of which shall be the commissioner of children's services.; There shall be in the department an advisory council consisting of thirty-one members at least sixteen of whom shall be recipients of services rendered to older adults; There shall be in the department an archival review board which shall consist of five members"
LegalName,The official name of the organization as stated in the legal citation text from the authorizing authority.,object,Department of Health and Mental Hygiene; Office of Long-Term Planning and Sustainability; New York City Office of Emergency Management
AlternateNames,"Other names or previous names by which the organization is or was known, separated by semicolon.",object,Department of Consumer Affairs; NYC Health; Health Department; NYC Parks
Acronym,The official or commonly used abbreviation for the organization.,object,ACS; ABNY; AUDIT
AlternateAcronyms,"Other abbreviations or previous acronyms used for the organization, separated by semicolon.",object,DFTA; DCA; DOH
BudgetCode,A unique identifier assigned to the organization for budgetary tracking.,float64,68.0; 73.0; 3.0
PrincipalOfficerName,The name of the individual who serves as the top executive or administrator of the organization.,object,Jess Dannhauser; Jasmine Georges-Villa; Sanford Rich
PrincipalOfficerTitle,The official title of the top executive or administrator within the organization.,object,Commissioner; Interim Executive Director; Executive Director
PrincipalOfficerContactURL,The contact URL for the principal officer of the organization.,object,
HeadOfOrganizationName,The name of the head of the organization.,object,
HeadOfOrganizationTitle,The title of the head of the organization.,object,
HeadOfOrganizationURL,The contact URL for the head of the organization.,object,
MMRChapter,Indicates if the organization has a chapter in the Mayor's Management Report.,object,
RulemakingEntity,Indicates whether the organization is a rulemaking entity.,object,
OpenDatasetsURL,The web address where open datasets related to the organization can be found.,object,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Administration+for+Children%27s+Services+%28ACS%29; https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Elections+%28BOENY%29; https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Standards+and+Appeals+%28BSA%29&category=City+Government
FoundingYear,The year when the organization was officially established.,float64,1970.0
SunsetYear,The planned or actual year when the organization ceased or is scheduled to cease operations. This is particularly relevant for temporary agencies or those that have been disbanded.,float64,1970.0
URISlug,"A lowercase, hyphenated version of the organization's name, designed for potential use in URI schemes and linked data applications.",object,administration-for-childrens-services; advisory-council-to-the-department-for-the-aging; archival-review-board
DateCreated,The date when the entry was first added to the dataset.,datetime64[ns],2024-07-29
DateModified,The most recent date when the entry was updated in the dataset.,datetime64[ns],
LastVerifiedDate,The most recent date when the information for this organization was confirmed accurate.,float64,
Name - NYC.gov Organization List,,object,"Children's Services, Administration for (ACS); Correction, Board of (BOC); Board of Education Retirement System (BERS)"
Name - NYC.gov Mayor's Office,The name of this organization as it appears in the agency list at https://www.nyc.gov/office-of-the-mayor/admin-officials.page,object,"Children's Services, Administration for (ACS); Correction, Board of (BOC); Board of Education Retirement System (BERS)"
Name - NYC Open Data Portal,The name of this organization as it appears on the Open Data portal at https://opendata.cityofnewyork.us/data/,object,Administration for Children’s Services (ACS); Board of Elections (BOENY); Board of Standards and Appeals (BSA)
Name - ODA,The name of this organization as it appears on an internal list from the Office of Data Analytics,object,Administration for Children's Services (ACS); Association for a Better New York (ABNY); Board of Correction (BOC)
Name - CPO,The name of this organization as it appears on an internal list from the Chief Privacy Officer,object,Administration for Children's Services; Board of Correction; Board of Education Retirement System
Name - WeGov,The name of this organization as it appears on an internal list from the webisite WeGov,object,Administration for Children's Services; Board of Correction; Board of Education Retirement System
Name - Greenbook,The name of this organization as it appears on in Checkbook at https://www.checkbooknyc.com/agency_codes/newwindow,object,"Children's Services, Administration for; Correction, Board of; Education Retirement System, Board of"
Name - Checkbook,The name of this organization as it appears on in Greenbook at https://data.cityofnewyork.us/resource/mdcw-n682.json,object,Administration for Children's Services; Board of Correction; Board of Elections
NameWithAcronym,"The official, preferred name with acronym for the government administrative organization as established by this authoritative dataset.",object,Administration for Children's Services (ACS); Advisory Council to the Department for the Aging; Archival Review Board
NameAlphabetizedWithAcronym,"The alphabetizied version of the official, preferred name with acronym for the government administrative organization as established by this authoritative dataset.",object,"Children's Services, Administration for (ACS); Aging, Advisory Council to the Department for the; Archival Review Board"
